HS2,description,tonne,usd,co2_t,com_tot_usd,MTC_usd,MTC_per_value_pct,MTC_per_tonne_pct,com_tot_usd_per_value_pct,com_tot_usd_per_tonne_pct
01,Animals; live,918857591.8740001,1278928007.377,47310.728698184204,2589861.602554683,42473303.143413685,3.3,4.6,0.2,0.3
02,Meat and edible meat offal,6843839695.703,18235580316.281,127742.24888432356,7089816.449906633,44413824.36528556,0.2,0.6,0.0,0.1
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",11251155727.502,47661609058.87,258855.66500864402,14651894.45066301,89251602.96399063,0.2,0.8,0.0,0.1
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",13555123651.846,32797118228.201,207638.8359897481,11500951.05249105,73567299.93001041,0.2,0.5,0.0,0.1
05,Animal originated products; not elsewhere specified or included,3571165771.058,4059533160.281,46372.594641749885,2515657.8031447968,17067424.103785466,0.4,0.5,0.1,0.1
06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1514723734.278,4372012177.515,17460.69171223564,943649.1892028284,6322190.977464751,0.1,0.4,0.0,0.1
07,Vegetables and certain roots and tubers; edible,17619597288.621,16866138554.955,277930.1320815791,15363983.9759256,99185154.06691848,0.6,0.6,0.1,0.1
08,"Fruit and nuts, edible; peel of citrus fruit or melons",20651826399.249,30100828239.098,556169.6068104379,31465094.285220873,188694560.6452069,0.6,0.9,0.1,0.2
09,"Coffee, tea, mate and spices",4400716605.207,13397537373.31,125889.80299865387,7196933.829814744,40518824.894100055,0.3,0.9,0.1,0.2
10,Cereals,132945895031.588,36714097286.819,2194503.605411469,125577340.61523674,1088988136.7874324,3.0,0.8,0.3,0.1
11,"Products of the milling industry; malt, starches, inulin, wheat gluten",8026890220.508,4401367316.09,143223.15021577117,7991205.414432289,50394242.29426992,1.1,0.6,0.2,0.1
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",89650138055.525,32556498082.03,1858897.9317325414,106759059.85247514,795201295.2707381,2.4,0.9,0.3,0.1
13,"Lac; gums, resins and other vegetable saps and extracts",396945161.373,2058744287.504,12459.895806043172,708982.5771257889,4006327.9224646054,0.2,1.0,0.0,0.2
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1204056315.085,140782644.218,25894.277435787135,1477279.4790814628,8964007.103511846,6.4,0.7,1.0,0.1
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",56226884882.497,41139261889.111,1829511.6073394304,101540301.2413574,1145492367.795295,2.8,2.0,0.2,0.2
16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",3133528164.517,13894253679.569,74753.62981913268,4211029.933184292,25627647.249259952,0.2,0.8,0.0,0.1
17,Sugars and sugar confectionery,43904553909.435,21778991390.947,683701.7595478442,39000161.3081588,372093316.27861077,1.7,0.8,0.2,0.1
18,Cocoa and cocoa preparations,1754875174.8830001,6718178090.324,35773.42422463864,2015271.1257792606,12386937.992858738,0.2,0.7,0.0,0.1
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",7484424495.482,21550982428.371002,132267.68137055758,7353740.273785833,45998182.74252713,0.2,0.6,0.0,0.1
20,"Preparations of vegetables, fruit, nuts or other parts of plants",15880572970.050999,19369059975.093,434421.3195634854,24654177.92113715,140036281.18610585,0.7,0.9,0.1,0.2
21,Miscellaneous edible preparations,6568190569.768,25524576535.778,141685.29824774867,7972637.110609312,48513233.29107636,0.2,0.7,0.0,0.1
22,"Beverages, spirits and vinegar",44984840406.14,55204074005.442,735265.6340260175,40961140.61622913,253971385.72896758,0.5,0.6,0.1,0.1
23,"Food industries, residues and wastes thereof; prepared animal fodder",41309028567.452,22882665533.333,850834.8250167934,47657323.22211276,295274881.1135899,1.3,0.7,0.2,0.1
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",815050084.008,6815576251.905,18465.210496034284,1040734.5263159635,6374522.679694314,0.1,0.8,0.0,0.1
25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",307865599928.23303,17344339325.288002,3112431.6755760275,174819238.88395163,1953788296.7479718,11.3,0.6,1.0,0.1
26,"Ores, slag and ash",164241122556.338,39101299324.885,2373037.3771359012,135176827.75620168,1144103119.3486466,2.9,0.7,0.3,0.1
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2801603280814.413,1240650073804.323,36067927.96670473,2042157221.1601908,19028978280.11494,1.5,0.7,0.2,0.1
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",95558132887.958,52736128099.668,1812640.0994805428,101729563.22614959,641862655.8654768,1.2,0.7,0.2,0.1
29,Organic chemicals,106700196823.49,130695882200.436,3207804.781456574,175074576.3682014,2054088684.7528667,1.6,1.9,0.1,0.2
30,Pharmaceutical products,978772349.9810001,69966996442.856,28345.367692839074,1604225.9656207047,9237976.582289834,0.0,0.9,0.0,0.2
31,Fertilizers,115973929689.108,30124756402.349,1955966.6652707038,110790240.88857871,990603849.2964165,3.3,0.9,0.4,0.1
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",10388226306.686,33419665639.004,168221.7593842276,9349827.558716567,60033011.644585796,0.2,0.6,0.0,0.1
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2988385588.772,31136522158.331,72848.13222853329,4113467.3093532342,24103769.09179592,0.1,0.8,0.0,0.1
34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",12488200670.061,25634212191.178,211286.9002730239,11749244.825036367,74349592.2121872,0.3,0.6,0.0,0.1
35,Albuminoidal substances; modified starches; glues; enzymes,2934273352.761,9335179297.634,69423.2438956532,3875273.684680264,23714577.04449208,0.3,0.8,0.0,0.1
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,541131886.653,1694686266.562,14607.129907410259,830435.9920680274,4678920.655965719,0.3,0.9,0.0,0.2
37,Photographic or cinematographic goods,366684431.066,3701236466.849,9642.465457276243,526752.6556858695,6342669.629505583,0.2,1.7,0.0,0.1
38,Chemical products n.e.c.,33684858098.189,71329104838.903,615433.5437740877,34420546.85486945,215177553.47688907,0.3,0.6,0.0,0.1
39,Plastics and articles thereof,104202367481.448,246423252026.007,2182780.836039924,122992877.34274131,735548083.8676074,0.3,0.7,0.0,0.1
40,Rubber and articles thereof,23826873439.515,69727711635.204,605573.4193723327,34319437.788621284,203113502.60017553,0.3,0.9,0.0,0.1
41,Raw hides and skins (other than furskins) and leather,1480928161.9580002,3613595241.298,55270.99185058014,3179372.7445050697,17298071.059362486,0.5,1.2,0.1,0.2
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",945435978.027,10345924039.963,23724.38044118851,1360438.2899973833,7424904.175078596,0.1,0.8,0.0,0.1
43,Furskins and artificial fur; manufactures thereof,20738531.796,850981633.702,405.68217108449335,22884.80922048385,139008.34245396432,0.0,0.7,0.0,0.1
