,imp_code_str3,imp_name,HS2,description,USD,tonne
0,008,Albania,27," Anthracite, not agglomerated",175640338.448,274386.770401
1,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",40286545.555,131439.64445
2,008,Albania,10, Durum wheat,31121899.985,130303.342523
3,008,Albania,87, Pedestrian controlled tractors,186045097.976,69175.01252799999
4,008,Albania,44, Fuel wood,17812443.168,55783.733144
5,008,Albania,48, Newsprint,48795284.206,27408.142303
6,008,Albania,84, Nuclear reactors,100891912.824,26196.715996
7,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,22089840.745,25205.40938
8,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,65907036.054,23526.542720999998
9,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",7520013.147000001,23471.25806
10,008,Albania,73, Sheet piling of iron or steel,40021847.331,22263.682883999998
11,008,Albania,17," Raw sugar, cane",7276663.2700000005,18448.58257
12,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",12551428.344,15985.728242000001
13,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",11021020.94,15551.22353
14,008,Albania,34," Soaps, for toilet use, solid",15061607.145000001,14174.126417000001
15,008,Albania,08," Coconuts, fresh or dried",8130343.701,13874.945547000001
16,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",17879131.929,13753.98407
17,008,Albania,85, Electric motors of an output < 37.5 watts,61426635.939,12179.457136
18,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",15158330.281,10917.540869999999
19,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",77098329.356,8517.302767000001
20,008,Albania,63, Electric blankets of textile material,11914999.309,7293.851395
21,008,Albania,94," Seats, aircraft",23943692.68,7147.98045
22,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",60178852.90400001,6722.937104
23,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",5689542.38,6123.806721999999
24,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,7922784.4120000005,5592.89533
25,008,Albania,09," Coffee, not roasted, not decaffeinated",21624647.9,5513.604678000001
26,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",66970571.105,5303.62189
27,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",6641219.177,5267.666157
28,008,Albania,41," Bovine skins, whole, raw",108822295.868,5136.63255
29,008,Albania,83, Padlocks of base metal,20695695.716,5072.130779
30,008,Albania,25," Salt (sodium chloride) including solution, salt water",555570.2660000001,4874.4356
31,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",2879018.293,4739.218400000001
32,008,Albania,59, Gum or amylaceous covered textiles for book covers et,33276008.741,3625.306741
33,008,Albania,76," Aluminium unwrought, not alloyed",10664782.729,3373.1070699999996
34,008,Albania,15," Lard, other pig fat and poultry fat, rendered",4397610.22,3322.523409
35,008,Albania,21," Coffee extracts, essences, concentrates, preparations",11349970.842,3151.5856879999997
36,008,Albania,40," Natural rubber latex, including prevulcanised",9928783.693,3070.695004
37,008,Albania,38, Artificial graphite,4362062.137,2943.951013
38,008,Albania,33, Essential oils of bergamot,12581782.128,2831.295637
39,008,Albania,28, Chlorine,1056431.508,2442.75411
