,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,380,Italy,008,Albania,972926036.514,406885.229167
1,156,China,008,Albania,153041117.151,62464.594389
2,276,Germany,008,Albania,76120209.812,43950.294944999994
3,792,Türkiye,008,Albania,54713805.013,77531.54036
4,724,Spain,008,Albania,50342602.735,105538.41752
5,643,Russian Federation,008,Albania,33845639.100999996,134598.4585
6,300,Greece,008,Albania,27948877.682,43514.54
7,376,Israel,008,Albania,25525086.462,39985.926403
8,642,Romania,008,Albania,23291983.753000002,35788.246087
9,076,Brazil,008,Albania,18528578.266,13997.894472
10,840,United States of America,008,Albania,14436614.660000002,4430.525876
11,250,France,008,Albania,13852967.429,9428.949117
12,818,Egypt,008,Albania,11782110.302000001,20858.4
13,756,"Switzerland, Liechtenstein",008,Albania,9923429.816,4669.375
14,191,Croatia,008,Albania,8408392.736,13016.06
15,124,Canada,008,Albania,6704022.844,1382.42776
16,392,Japan,008,Albania,6275512.291999999,2284.301115
17,356,India,008,Albania,5118389.271,14421.52802
18,410,"Korea, Republic of",008,Albania,4656510.45,595.28509
19,203,Czechia,008,Albania,3445841.98,321.01500000000004
20,056,Belgium,008,Albania,2909987.568,1315.074
21,826,United Kingdom,008,Albania,2864346.943,1236.9144199999998
22,528,Netherlands (Kingdom of the),008,Albania,2824055.055,1261.9478
23,218,Ecuador,008,Albania,2545218.966,5305.210187
24,752,Sweden,008,Albania,2260173.979,607.322
25,032,Argentina,008,Albania,1637060.618,1873.5159300000003
26,360,Indonesia,008,Albania,1241174.213,1533.89842
27,050,Bangladesh,008,Albania,1230927.515,49.09087
28,458,Malaysia,008,Albania,1030609.425,1094.08962
29,704,Viet Nam,008,Albania,829090.0510000001,421.89067
30,158,"China, Taiwan Province of",008,Albania,803095.409,449.00266
31,586,Pakistan,008,Albania,702631.066,1463.93329
32,764,Thailand,008,Albania,608657.0190000001,120.3982
33,784,United Arab Emirates,008,Albania,601030.82,123.889
34,170,Colombia,008,Albania,567024.9,783.132165
35,348,Hungary,008,Albania,302940.531,344.931063
36,484,Mexico,008,Albania,298417.192,167.785632
37,040,Austria,008,Albania,262128.65899999999,92.039
38,578,Norway,008,Albania,178435.817,25.544299999999996
39,188,Costa Rica,008,Albania,171047.735,171.713539
40,504,Morocco,008,Albania,169046.017,65.0
41,688,Serbia,008,Albania,132000.73,8.724020000000001
42,616,Poland,008,Albania,72566.314,14.136790000000001
43,620,Portugal,008,Albania,59315.502,8.88318
44,344,"China, Hong Kong SAR",008,Albania,40931.891,0.17743099999999998
45,800,Uganda,008,Albania,37702.462,19.2
46,208,Denmark,008,Albania,36619.406,10.996
47,428,Latvia,008,Albania,32396.898,198.325
48,233,Estonia,008,Albania,28270.639,168.09
49,442,Luxembourg,008,Albania,27546.003,7.7
50,788,Tunisia,008,Albania,21908.754,0.16418
51,608,Philippines,008,Albania,21294.741,3.321424
52,100,Bulgaria,008,Albania,19985.237,4.19569
53,340,Honduras,008,Albania,16831.515,4.9178999999999995
54,604,Peru,008,Albania,14778.083,6.4606509999999995
55,116,Cambodia,008,Albania,10690.321,0.11679
56,499,Montenegro,008,Albania,10536.151,0.157
57,705,Slovenia,008,Albania,3691.314,1.5919219999999998
58,480,Mauritius,008,Albania,2751.9100000000003,0.030931
59,320,Guatemala,008,Albania,1187.428,0.04604
60,104,Myanmar,008,Albania,771.848,0.01581
61,600,Paraguay,008,Albania,743.395,0.101277
62,152,Chile,008,Albania,69.524,0.079986
