,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,643,Russian Federation,008,Albania,10, Durum wheat,27799701.904,125289.27,Russian Federation -  Durum wheat
1,380,Italy,008,Albania,27," Anthracite, not agglomerated",47200581.452,71957.79791,"Italy -  Anthracite, not agglomerated"
2,724,Spain,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",18553463.909,66587.29194,"Spain -  Bricks, blocks and ceramic goods of siliceous earths"
3,792,Türkiye,008,Albania,44, Fuel wood,13877054.02,47597.68,Türkiye -  Fuel wood
4,300,Greece,008,Albania,27," Anthracite, not agglomerated",27947643.496,43513.44,"Greece -  Anthracite, not agglomerated"
5,376,Israel,008,Albania,27," Anthracite, not agglomerated",25373479.631,39985.816,"Israel -  Anthracite, not agglomerated"
6,642,Romania,008,Albania,27," Anthracite, not agglomerated",23155492.144,35758.2102,"Romania -  Anthracite, not agglomerated"
7,724,Spain,008,Albania,27," Anthracite, not agglomerated",23869099.261,35219.885,"Spain -  Anthracite, not agglomerated"
8,380,Italy,008,Albania,87, Pedestrian controlled tractors,60377616.713,28020.897940000003,Italy -  Pedestrian controlled tractors
9,380,Italy,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,21442191.559,24944.56213,Italy -  Mineral and aerated waters not sweetened or flavoured
10,380,Italy,008,Albania,48, Newsprint,46055562.23,24842.987670000002,Italy -  Newsprint
11,380,Italy,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",10035695.68,24637.109920000003,"Italy -  Bricks, blocks and ceramic goods of siliceous earths"
12,276,Germany,008,Albania,87, Pedestrian controlled tractors,67301033.768,23982.020129999997,Germany -  Pedestrian controlled tractors
13,818,Egypt,008,Albania,27," Anthracite, not agglomerated",11560958.162,20638.4,"Egypt -  Anthracite, not agglomerated"
14,380,Italy,008,Albania,73, Sheet piling of iron or steel,32263635.816,17985.86693,Italy -  Sheet piling of iron or steel
15,380,Italy,008,Albania,84, Nuclear reactors,70565904.126,16866.537285,Italy -  Nuclear reactors
16,792,Türkiye,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",4266521.898,16795.0968,"Türkiye -  Bricks, blocks and ceramic goods of siliceous earths"
17,380,Italy,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,50530480.143,16540.61684,Italy -  Polyethylene - specific gravity <0.94 in primary form
18,276,Germany,008,Albania,17," Raw sugar, cane",5487939.222,15360.0,"Germany -  Raw sugar, cane"
19,380,Italy,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",4914509.241,15159.56314,"Italy -  Stone setts, curbstones, flagstones (except slate)"
20,380,Italy,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",17576360.887,13123.6839,"Italy -  Infant foods of cereals, flour, starch or milk, retai"
21,191,Croatia,008,Albania,27," Anthracite, not agglomerated",8408392.736,13016.06,"Croatia -  Anthracite, not agglomerated"
22,156,China,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",4976123.136,12917.745789999999,"China -  Bricks, blocks and ceramic goods of siliceous earths"
23,356,India,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",2454740.932,10502.4,"India -  Bricks, blocks and ceramic goods of siliceous earths"
24,380,Italy,008,Albania,34," Soaps, for toilet use, solid",12416368.841,10474.99538,"Italy -  Soaps, for toilet use, solid"
25,643,Russian Federation,008,Albania,27," Anthracite, not agglomerated",6045266.589,9308.866,"Russian Federation -  Anthracite, not agglomerated"
26,380,Italy,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",9924281.339,8930.906,"Italy -  Flour or meal, pellet of meat or offal for animal fee"
27,380,Italy,008,Albania,85, Electric motors of an output < 37.5 watts,37039916.335,7851.97108,Italy -  Electric motors of an output < 37.5 watts
28,380,Italy,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",71663138.458,7802.888650000001,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
29,156,China,008,Albania,84, Nuclear reactors,25986070.703,7179.946940000001,China -  Nuclear reactors
30,380,Italy,008,Albania,08," Coconuts, fresh or dried",4319597.877,7018.032980000001,"Italy -  Coconuts, fresh or dried"
31,380,Italy,008,Albania,44, Fuel wood,2859339.625,6900.20181,Italy -  Fuel wood
32,380,Italy,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",4977492.528,6851.22253,"Italy -  Pig iron, non-alloy, <0.5% phosphorus"
33,380,Italy,008,Albania,63, Electric blankets of textile material,9111415.761,6479.71194,Italy -  Electric blankets of textile material
34,380,Italy,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",5598109.482,6049.67484,"Italy -  Cucumbers,gherkins, prepared or preserved by vinegar"
35,156,China,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",4384844.754,5924.196,"China -  Pig iron, non-alloy, <0.5% phosphorus"
36,076,Brazil,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",2307627.763,5900.0,"Brazil -  Flour or meal, pellet of meat or offal for animal fee"
37,076,Brazil,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",10262794.639,5734.6518,"Brazil -  Bovine carcasses and half carcasses, fresh or chilled"
38,380,Italy,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,7900269.83,5581.57005,Italy -  Milk not concentrated nor sweetened < 1% fat
39,218,Ecuador,008,Albania,08," Coconuts, fresh or dried",2537768.204,5301.772430999999,"Ecuador -  Coconuts, fresh or dried"
40,380,Italy,008,Albania,41," Bovine skins, whole, raw",108003649.748,5105.47741,"Italy -  Bovine skins, whole, raw"
41,380,Italy,008,Albania,25," Salt (sodium chloride) including solution, salt water",536235.155,4771.375599999999,"Italy -  Salt (sodium chloride) including solution, salt water"
42,756,"Switzerland, Liechtenstein",008,Albania,87, Pedestrian controlled tractors,9923429.816,4669.375,"Switzerland, Liechtenstein -  Pedestrian controlled tractors"
43,380,Italy,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",55049847.218,4654.50728,"Italy -  Mens, boys overcoats of wool or hair, not knit"
44,380,Italy,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",2483193.953,4419.513400000001,"Italy -  Bulbs, tubers, corms, crowns and rhizomes, dormant"
45,380,Italy,008,Albania,94," Seats, aircraft",14862855.846,4137.2988,"Italy -  Seats, aircraft"
46,156,China,008,Albania,73, Sheet piling of iron or steel,7261502.146,4099.99734,China -  Sheet piling of iron or steel
47,380,Italy,008,Albania,83, Padlocks of base metal,18285205.963,4018.57609,Italy -  Padlocks of base metal
48,792,Türkiye,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",26358287.451,3977.54477,"Türkiye -  Mens, boys overcoats, etc, of wool or hair, knit"
49,156,China,008,Albania,85, Electric motors of an output < 37.5 watts,22993233.682,3846.50102,China -  Electric motors of an output < 37.5 watts
50,380,Italy,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",4489702.196,3562.0395099999996,"Italy -  Glass cullet, waste or scrap, glass in the mass"
51,156,China,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",959209.643,3559.58092,"China -  Stone setts, curbstones, flagstones (except slate)"
52,792,Türkiye,008,Albania,34," Soaps, for toilet use, solid",2288348.436,3517.9388,"Türkiye -  Soaps, for toilet use, solid"
53,380,Italy,008,Albania,10, Durum wheat,2571359.639,3486.9303,Italy -  Durum wheat
54,380,Italy,008,Albania,59, Gum or amylaceous covered textiles for book covers et,32151041.937,3448.28985,Italy -  Gum or amylaceous covered textiles for book covers et
55,356,India,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",1208401.462,3304.59,"India -  Stone setts, curbstones, flagstones (except slate)"
56,156,China,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,7104000.807,3258.23029,China -  Polyethylene - specific gravity <0.94 in primary form
57,380,Italy,008,Albania,21," Coffee extracts, essences, concentrates, preparations",11085018.446,3137.3257999999996,"Italy -  Coffee extracts, essences, concentrates, preparations"
58,250,France,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,7087323.703,3016.5145899999998,France -  Polyethylene - specific gravity <0.94 in primary form
59,156,China,008,Albania,94," Seats, aircraft",8894854.249,2952.7974700000004,"China -  Seats, aircraft"
60,792,Türkiye,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",1658683.658,2775.805,"Türkiye -  Pig iron, non-alloy, <0.5% phosphorus"
61,380,Italy,008,Albania,38, Artificial graphite,3855043.32,2725.31126,Italy -  Artificial graphite
62,250,France,008,Albania,17," Raw sugar, cane",1020345.855,2688.0,"France -  Raw sugar, cane"
63,380,Italy,008,Albania,76," Aluminium unwrought, not alloyed",8026206.949,2607.4939,"Italy -  Aluminium unwrought, not alloyed"
64,276,Germany,008,Albania,27," Anthracite, not agglomerated",545638.596,2597.4622999999997,"Germany -  Anthracite, not agglomerated"
65,380,Italy,008,Albania,33, Essential oils of bergamot,11233107.846,2561.69913,Italy -  Essential oils of bergamot
66,380,Italy,008,Albania,28, Chlorine,1041880.503,2417.75411,Italy -  Chlorine
67,156,China,008,Albania,40," Natural rubber latex, including prevulcanised",6255726.958,2387.82074,"China -  Natural rubber latex, including prevulcanised"
68,380,Italy,008,Albania,11, Wheat or meslin flour,1081066.659,2379.14444,Italy -  Wheat or meslin flour
69,380,Italy,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",2496544.508,2376.9456299999997,"Italy -  Bovine carcasses and half carcasses, fresh or chilled"
70,076,Brazil,008,Albania,09," Coffee, not roasted, not decaffeinated",5868139.299,2328.035018,"Brazil -  Coffee, not roasted, not decaffeinated"
71,380,Italy,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",26615430.629,2319.7349,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
72,840,United States of America,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",1942528.058,2300.6957599999996,"United States of America -  Bovine carcasses and half carcasses, fresh or chilled"
73,392,Japan,008,Albania,87, Pedestrian controlled tractors,5384006.907,2141.317767,Japan -  Pedestrian controlled tractors
74,380,Italy,008,Albania,09," Coffee, not roasted, not decaffeinated",13493330.476,2075.36279,"Italy -  Coffee, not roasted, not decaffeinated"
75,380,Italy,008,Albania,56," Sanitary towels, diapers and similar articles",9878137.396,2040.74948,"Italy -  Sanitary towels, diapers and similar articles"
76,250,France,008,Albania,27," Anthracite, not agglomerated",1409648.555,2013.7071,"France -  Anthracite, not agglomerated"
77,380,Italy,008,Albania,32, Quebracho tanning extract,4897578.176,1938.0023899999999,Italy -  Quebracho tanning extract
78,840,United States of America,008,Albania,87, Pedestrian controlled tractors,9766318.516,1886.07478,United States of America -  Pedestrian controlled tractors
79,380,Italy,008,Albania,52," Cotton, not carded or combed",24564726.739,1733.51258,"Italy -  Cotton, not carded or combed"
80,156,China,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",2106505.937,1681.01655,"China -  Glass cullet, waste or scrap, glass in the mass"
81,380,Italy,008,Albania,07," Potatoes seed, fresh or chilled",1124257.881,1577.75017,"Italy -  Potatoes seed, fresh or chilled"
82,380,Italy,008,Albania,35, Casein,5081126.019,1541.17576,Italy -  Casein
83,156,China,008,Albania,48, Newsprint,1825873.843,1518.23624,China -  Newsprint
84,250,France,008,Albania,87, Pedestrian controlled tractors,3557328.463,1509.76974,France -  Pedestrian controlled tractors
85,586,Pakistan,008,Albania,10, Durum wheat,636993.346,1458.588,Pakistan -  Durum wheat
86,724,Spain,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",437892.801,1447.524,"Spain -  Stone setts, curbstones, flagstones (except slate)"
87,156,China,008,Albania,87, Pedestrian controlled tractors,4259611.477,1277.51131,China -  Pedestrian controlled tractors
88,276,Germany,008,Albania,84, Nuclear reactors,1122806.436,1264.8735900000001,Germany -  Nuclear reactors
89,156,China,008,Albania,44, Fuel wood,1070957.392,1252.66333,China -  Fuel wood
90,380,Italy,008,Albania,15," Lard, other pig fat and poultry fat, rendered",2212927.789,1240.15001,"Italy -  Lard, other pig fat and poultry fat, rendered"
91,124,Canada,008,Albania,87, Pedestrian controlled tractors,6561020.277,1231.298349,Canada -  Pedestrian controlled tractors
92,032,Argentina,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",319519.242,1154.8222420000002,"Argentina -  Flour or meal, pellet of meat or offal for animal fee"
93,156,China,008,Albania,54, Sewing thread of synthetic filaments,4941358.065,1114.88154,China -  Sewing thread of synthetic filaments
94,056,Belgium,008,Albania,87, Pedestrian controlled tractors,2694886.289,1099.573,Belgium -  Pedestrian controlled tractors
95,380,Italy,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",580997.635,1093.0486,"Italy -  Animal or vegetable fertilizers, in packs >10 kg"
96,724,Spain,008,Albania,03," Ornamental fish, live",3855850.939,1071.181,"Spain -  Ornamental fish, live"
97,380,Italy,008,Albania,54, Sewing thread of synthetic filaments,13068138.585,1056.73163,Italy -  Sewing thread of synthetic filaments
98,360,Indonesia,008,Albania,48, Newsprint,899509.693,1044.617,Indonesia -  Newsprint
99,156,China,008,Albania,83, Padlocks of base metal,2365438.07,1043.65281,China -  Padlocks of base metal
100,458,Malaysia,008,Albania,15," Lard, other pig fat and poultry fat, rendered",719249.236,1010.976,"Malaysia -  Lard, other pig fat and poultry fat, rendered"
101,156,China,008,Albania,60," ""Long pile"" knit or crochet textile fabric",4332853.458,934.0831999999999,"China -  ""Long pile"" knit or crochet textile fabric"
102,380,Italy,008,Albania,60," ""Long pile"" knit or crochet textile fabric",12622005.935,827.5385699999999,"Italy -  ""Long pile"" knit or crochet textile fabric"
103,792,Türkiye,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",352139.796,825.866,"Türkiye -  Animal or vegetable fertilizers, in packs >10 kg"
104,156,China,008,Albania,95," Rideable wheeled toys, dolls carriages",3675832.895,780.1047199999999,"China -  Rideable wheeled toys, dolls carriages"
105,156,China,008,Albania,76," Aluminium unwrought, not alloyed",2637879.079,765.4311700000001,"China -  Aluminium unwrought, not alloyed"
106,380,Italy,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",4193475.322,747.6200600000001,"Italy -  Sausages, similar products of meat, meat offal & bloo"
107,170,Colombia,008,Albania,08," Coconuts, fresh or dried",383428.599,723.514491,"Colombia -  Coconuts, fresh or dried"
108,380,Italy,008,Albania,96," Worked ivory, articles of ivory",6629867.973,703.42704,"Italy -  Worked ivory, articles of ivory"
109,826,United Kingdom,008,Albania,87, Pedestrian controlled tractors,2222557.712,689.00123,United Kingdom -  Pedestrian controlled tractors
110,156,China,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",5147035.225,669.98778,"China -  Waterproof footwear (Wellingtons etc), metal toe cap"
111,528,Netherlands (Kingdom of the),008,Albania,87, Pedestrian controlled tractors,1448895.287,669.713,Netherlands (Kingdom of the) -  Pedestrian controlled tractors
112,792,Türkiye,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",295768.633,626.4,"Türkiye -  Infant foods of cereals, flour, starch or milk, retai"
113,752,Sweden,008,Albania,87, Pedestrian controlled tractors,2260173.979,607.322,Sweden -  Pedestrian controlled tractors
114,356,India,008,Albania,09," Coffee, not roasted, not decaffeinated",1219546.988,604.4685,"India -  Coffee, not roasted, not decaffeinated"
115,032,Argentina,008,Albania,08," Coconuts, fresh or dried",432144.74,587.66694,"Argentina -  Coconuts, fresh or dried"
116,156,China,008,Albania,82, Spades and shovels,1358062.01,587.56718,China -  Spades and shovels
117,410,"Korea, Republic of",008,Albania,87, Pedestrian controlled tractors,4619433.381,574.559,"Korea, Republic of -  Pedestrian controlled tractors"
118,380,Italy,008,Albania,40," Natural rubber latex, including prevulcanised",2995636.133,553.48786,"Italy -  Natural rubber latex, including prevulcanised"
119,360,Indonesia,008,Albania,15," Lard, other pig fat and poultry fat, rendered",341496.753,489.28,"Indonesia -  Lard, other pig fat and poultry fat, rendered"
120,156,China,008,Albania,63, Electric blankets of textile material,2388099.842,472.94973999999996,China -  Electric blankets of textile material
121,704,Viet Nam,008,Albania,09," Coffee, not roasted, not decaffeinated",802733.805,421.56,"Viet Nam -  Coffee, not roasted, not decaffeinated"
122,156,China,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",9538964.511,419.29939,"China -  Mens, boys overcoats of wool or hair, not knit"
123,380,Italy,008,Albania,58," Woven pile fabric of wool or fine animal hair, w >30c",8751599.425,413.97224,"Italy -  Woven pile fabric of wool or fine animal hair, w >30c"
124,826,United Kingdom,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",365092.235,409.135,"United Kingdom -  Bovine carcasses and half carcasses, fresh or chilled"
125,158,"China, Taiwan Province of",008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,633177.59,408.07026,"China, Taiwan Province of -  Polyethylene - specific gravity <0.94 in primary form"
126,380,Italy,008,Albania,30," Glands and other organs, dried, for therapeutic uses",9095797.75,391.19622999999996,"Italy -  Glands and other organs, dried, for therapeutic uses"
127,156,China,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",5939995.171,374.13601,"China -  Mens, boys overcoats, etc, of wool or hair, knit"
128,380,Italy,008,Albania,03," Ornamental fish, live",1072971.655,366.50351,"Italy -  Ornamental fish, live"
