,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,380,Italy,008,Albania,41," Bovine skins, whole, raw",108003649.748,5105.47741,"Italy -  Bovine skins, whole, raw"
1,380,Italy,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",71663138.458,7802.888650000001,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
2,380,Italy,008,Albania,84, Nuclear reactors,70565904.126,16866.537285,Italy -  Nuclear reactors
3,276,Germany,008,Albania,87, Pedestrian controlled tractors,67301033.768,23982.020129999997,Germany -  Pedestrian controlled tractors
4,380,Italy,008,Albania,87, Pedestrian controlled tractors,60377616.713,28020.897940000003,Italy -  Pedestrian controlled tractors
5,380,Italy,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",55049847.218,4654.50728,"Italy -  Mens, boys overcoats of wool or hair, not knit"
6,380,Italy,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,50530480.143,16540.61684,Italy -  Polyethylene - specific gravity <0.94 in primary form
7,380,Italy,008,Albania,27," Anthracite, not agglomerated",47200581.452,71957.79791,"Italy -  Anthracite, not agglomerated"
8,380,Italy,008,Albania,48, Newsprint,46055562.23,24842.987670000002,Italy -  Newsprint
9,380,Italy,008,Albania,85, Electric motors of an output < 37.5 watts,37039916.335,7851.97108,Italy -  Electric motors of an output < 37.5 watts
10,380,Italy,008,Albania,73, Sheet piling of iron or steel,32263635.816,17985.86693,Italy -  Sheet piling of iron or steel
11,380,Italy,008,Albania,59, Gum or amylaceous covered textiles for book covers et,32151041.937,3448.28985,Italy -  Gum or amylaceous covered textiles for book covers et
12,300,Greece,008,Albania,27," Anthracite, not agglomerated",27947643.496,43513.44,"Greece -  Anthracite, not agglomerated"
13,643,Russian Federation,008,Albania,10, Durum wheat,27799701.904,125289.27,Russian Federation -  Durum wheat
14,380,Italy,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",26615430.629,2319.7349,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
15,792,Türkiye,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",26358287.451,3977.54477,"Türkiye -  Mens, boys overcoats, etc, of wool or hair, knit"
16,156,China,008,Albania,84, Nuclear reactors,25986070.703,7179.946940000001,China -  Nuclear reactors
17,376,Israel,008,Albania,27," Anthracite, not agglomerated",25373479.631,39985.816,"Israel -  Anthracite, not agglomerated"
18,380,Italy,008,Albania,52," Cotton, not carded or combed",24564726.739,1733.51258,"Italy -  Cotton, not carded or combed"
19,724,Spain,008,Albania,27," Anthracite, not agglomerated",23869099.261,35219.885,"Spain -  Anthracite, not agglomerated"
20,642,Romania,008,Albania,27," Anthracite, not agglomerated",23155492.144,35758.2102,"Romania -  Anthracite, not agglomerated"
21,156,China,008,Albania,85, Electric motors of an output < 37.5 watts,22993233.682,3846.50102,China -  Electric motors of an output < 37.5 watts
22,380,Italy,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,21442191.559,24944.56213,Italy -  Mineral and aerated waters not sweetened or flavoured
23,724,Spain,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",18553463.909,66587.29194,"Spain -  Bricks, blocks and ceramic goods of siliceous earths"
