,exp_code_str3,exp_name,HS2,description,USD,tonne
0,008,Albania,27," Anthracite, not agglomerated",215763655.352,616721.9596610001
1,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",103476897.429,115458.374027
2,008,Albania,25," Salt (sodium chloride) including solution, salt water",26456908.952,509696.994955
3,008,Albania,26," Iron ore, concentrate, not iron pyrites,unagglomerate",25678553.613,353780.438067
4,008,Albania,85, Electric motors of an output < 37.5 watts,22832992.165,5712.298567
5,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",20285446.576,854.413781
6,008,Albania,48, Newsprint,19865463.3,8116.813859999999
7,008,Albania,12, Soya beans,18512405.737,5994.81247
8,008,Albania,07," Potatoes seed, fresh or chilled",17378545.474,23217.504176
9,008,Albania,03," Ornamental fish, live",17296642.275999997,2368.69851
10,008,Albania,76," Aluminium unwrought, not alloyed",14192888.633000001,4042.322564
11,008,Albania,94," Seats, aircraft",12679313.115,5462.337354
12,008,Albania,87, Pedestrian controlled tractors,12326481.054,1814.2990940000002
13,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",10938508.179000001,368.395229
14,008,Albania,73, Sheet piling of iron or steel,9582673.321,5718.0456810000005
15,008,Albania,84, Nuclear reactors,8244623.830999999,1629.644806
16,008,Albania,44, Fuel wood,7487495.695,17547.632912999998
17,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",7225824.432,23458.76
18,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,6732446.223,3694.3455320000003
19,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",6132484.06,218.930744
20,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,6117912.393,5252.524901
21,008,Albania,08," Coconuts, fresh or dried",5095105.017,7429.089457
22,008,Albania,38, Artificial graphite,4067119.002,51090.431262000006
23,008,Albania,83, Padlocks of base metal,3610545.2600000002,1283.481108
24,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",3403184.872,92924.416407
25,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",3284948.957,13957.080539
26,008,Albania,90," Optical fibres, except for telecommunications",2955531.0039999997,254.81745800000002
27,008,Albania,63, Electric blankets of textile material,2929940.1829999997,564.086167
28,008,Albania,33, Essential oils of bergamot,2864914.7849999997,132.87844
29,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",2792548.247,304.436307
30,008,Albania,96," Worked ivory, articles of ivory",2114752.166,687.195787
31,008,Albania,32, Quebracho tanning extract,1823585.3139999998,8812.813523
32,008,Albania,09," Coffee, not roasted, not decaffeinated",1662338.397,377.891042
33,008,Albania,74, Copper mattes,1614936.681,339.989186
34,008,Albania,40," Natural rubber latex, including prevulcanised",1520024.9130000002,752.571548
35,008,Albania,65," Hat-forms, etc of felt, not shaped, no formed brim",1298541.8360000001,62.863699000000004
36,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",1137885.1090000002,1581.9823470000001
37,008,Albania,71," Pearls natural, not permanently mounted or set",1041603.3489999999,113.61060699999999
38,008,Albania,95," Rideable wheeled toys, dolls carriages",1029468.4630000001,569.73942
39,008,Albania,78, Lead refined unwrought,766111.3570000001,483.066056
40,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",748490.0920000001,487.96336800000006
41,008,Albania,42," Saddlery and harness, of any material",666388.971,24.072307
42,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",558329.132,340.214515
43,008,Albania,24," Tobacco, unmanufactured, not stemmed or stripped",512218.775,192.13851899999997
44,008,Albania,05," Hair, human, unworked, waste of human hair",496226.837,301.067839
45,008,Albania,82, Spades and shovels,436259.488,37.474573
46,008,Albania,36, Propellent powders,427444.93200000003,109.97869200000001
47,008,Albania,41," Bovine skins, whole, raw",401076.71900000004,136.561004
48,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",400658.81,837.946683
49,008,Albania,15," Lard, other pig fat and poultry fat, rendered",341370.02400000003,129.218434
50,008,Albania,21," Coffee extracts, essences, concentrates, preparations",327396.197,106.612529
51,008,Albania,34," Soaps, for toilet use, solid",302238.18799999997,300.457746
52,008,Albania,28, Chlorine,297456.213,474.096634
53,008,Albania,47, Mechanical wood pulp,263019.402,2757.556692
54,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",250491.19700000001,25.762918999999997
55,008,Albania,35, Casein,236516.81900000002,609.509636
56,008,Albania,49," Brochures, leaflets and similar, in single sheets",192785.381,18.518539
57,008,Albania,30," Glands and other organs, dried, for therapeutic uses",163819.74099999998,19.346982
58,008,Albania,59, Gum or amylaceous covered textiles for book covers et,149057.792,30.116728000000002
59,008,Albania,56," Sanitary towels, diapers and similar articles",147259.681,81.558341
60,008,Albania,60," ""Long pile"" knit or crochet textile fabric",142536.21300000002,9.622725
61,008,Albania,18," Cocoa beans, whole or broken, raw or roasted",132106.634,49.446661
62,008,Albania,29, Saturated acyclic hydrocarbons,125545.742,37.627624999999995
63,008,Albania,17," Raw sugar, cane",114256.955,61.108226
64,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,85645.275,33.061207
65,008,Albania,89," Cruise ships, excursion boats, ferry boats",78029.546,17.799737
66,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",68986.791,27.163249
67,008,Albania,57," Carpets of wool or fine animal hair, knotted",45010.49,7.08006
68,008,Albania,86," Rail locomotives, externally electrically powered",42910.588,73.87574000000001
69,008,Albania,10, Durum wheat,18325.592999999997,50.818645
70,008,Albania,55," Filament tow of nylon, polyamides",16126.085000000001,0.44804900000000003
71,008,Albania,11, Wheat or meslin flour,15109.985,54.80393
72,008,Albania,43," Raw mink furskins, whole",14081.542999999998,0.049051000000000004
73,008,Albania,37, X-ray plates and films,13972.825,0.608887
74,008,Albania,54, Sewing thread of synthetic filaments,13167.376,1.280003
75,008,Albania,79," Zinc, not alloyed, unwrought, >99% pure",8780.573,3.755779
76,008,Albania,88," Gliders, hang gliders",7839.353999999999,0.10726199999999998
77,008,Albania,51," Greasy shorn wool, not carded or combed",6278.224,9.505755
78,008,Albania,93," Military weapons, other than hand guns, swords, etc",5880.478,11.202834000000001
79,008,Albania,58," Woven pile fabric of wool or fine animal hair, w >30c",5687.955,0.755718
80,008,Albania,66, Garden and similar umbrellas,3891.7650000000003,0.405481
81,008,Albania,92," Upright pianos, including auto-players",3592.555,0.0010420000000000002
82,008,Albania,52," Cotton, not carded or combed",2440.25,0.22984600000000002
83,008,Albania,53," Flax fibre, raw or retted",2337.5,0.330664
84,008,Albania,91," Wrist-watch, precious metal, battery, with hands",1491.495,0.007043000000000001
85,008,Albania,14, Bamboos used primarily for plaiting,1475.774,25.110466000000002
86,008,Albania,13, Lac,967.876,0.10208899999999999
87,008,Albania,81," Powders, tungsten (wolfram)",427.728,2.504
88,008,Albania,67," Bird skins and feathers, articles therefrom",409.046,0.045024
89,008,Albania,46, Plaits and products of plaiting materials,198.059,89.984996
90,008,Albania,75, Nickel mattes,89.186,0.0366
91,008,Albania,01," Horses, live pure-bred breeding",0.007,2e-06
92,008,Albania,50, Silk-worm cocoons suitable for reeling,0.0,0.0
