,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,008,Albania,807,North Macedonia,69737668.228,524400.945427
1,008,Albania,724,Spain,178533764.866,510720.91624999995
2,008,Albania,499,Montenegro,44491706.18,389545.30271200003
3,008,Albania,470,Malta,9434996.081,140880.74899999998
4,008,Albania,380,Italy,109745125.91600001,118546.74146
5,008,Albania,156,China,18842036.939000003,68530.447861
6,008,Albania,036,Australia,9034167.491,24084.116710999995
7,008,Albania,688,Serbia,10110810.498,19629.88013
8,008,Albania,300,Greece,4043142.1939999997,17394.626
9,008,Albania,840,United States of America,48562112.289,15893.131135
10,008,Albania,818,Egypt,8023165.324,13958.764041
11,008,Albania,276,Germany,45076303.929,11041.532365000001
12,008,Albania,250,France,21618321.258,8662.296917
13,008,Albania,792,Türkiye,4100355.0,7823.023999999999
14,008,Albania,392,Japan,6260076.795,3307.512249
15,008,Albania,040,Austria,5419670.552,3258.2556240000004
16,008,Albania,100,Bulgaria,2977038.832,3195.869284
17,008,Albania,356,India,4336597.58,2200.7027909999997
18,008,Albania,203,Czechia,8471169.47,2132.4249959999997
19,008,Albania,686,Senegal,1926126.106,1418.9934269999999
20,008,Albania,703,Slovakia,2797378.3040000005,1335.0108579999999
21,008,Albania,191,Croatia,2003534.256,1298.002817
22,008,Albania,826,United Kingdom,2567109.915,1162.75295
23,008,Albania,804,Ukraine,1462540.261,916.910748
24,008,Albania,616,Poland,1775540.9370000002,853.23104
25,008,Albania,348,Hungary,1590186.798,687.734367
26,008,Albania,784,United Arab Emirates,1188367.524,644.527078
27,008,Albania,756,"Switzerland, Liechtenstein",2174500.187,637.967122
28,008,Albania,422,Lebanon,379579.117,588.215175
29,008,Albania,056,Belgium,890504.9890000001,475.715461
30,008,Albania,682,Saudi Arabia,632638.805,469.560982
31,008,Albania,410,"Korea, Republic of",436623.542,353.69014599999997
32,008,Albania,384,Côte d'Ivoire,391353.12399999995,315.795
33,008,Albania,246,Finland,1673921.986,313.92188000000004
34,008,Albania,440,Lithuania,158273.079,278.305722
35,008,Albania,566,Nigeria,61402.303,237.207
36,008,Albania,480,Mauritius,304648.794,201.989528
37,008,Albania,324,Guinea,97780.71100000001,201.10241499999998
38,008,Albania,634,Qatar,1006419.692,183.410453
39,008,Albania,498,"Moldova, Republic of",186425.432,183.19252400000002
40,008,Albania,152,Chile,459122.319,169.681029
41,008,Albania,376,Israel,596242.285,169.23719
42,008,Albania,764,Thailand,242420.13700000002,154.439212
43,008,Albania,620,Portugal,292421.058,150.963
44,008,Albania,372,Ireland,180759.496,148.43197700000002
45,008,Albania,076,Brazil,462832.382,140.178613
46,008,Albania,528,Netherlands (Kingdom of the),1207977.229,118.334481
47,008,Albania,196,Cyprus,109298.032,114.955
48,008,Albania,208,Denmark,383243.651,110.754885
49,008,Albania,586,Pakistan,52702.078,107.487299
50,008,Albania,466,Mali,36370.037,100.720262
51,008,Albania,642,Romania,810372.932,91.099947
52,008,Albania,504,Morocco,145380.675,89.683955
53,008,Albania,578,Norway,242111.864,89.102123
54,008,Albania,398,Kazakhstan,158695.515,84.14379100000001
55,008,Albania,643,Russian Federation,676378.246,77.968752
56,008,Albania,554,New Zealand,274859.36199999996,68.292478
57,008,Albania,048,Bahrain,41562.594,40.533774
58,008,Albania,788,Tunisia,41790.516,40.069508
59,008,Albania,268,Georgia,58384.752,35.826567999999995
60,008,Albania,705,Slovenia,97387.223,33.777656
61,008,Albania,214,Dominican Republic,602680.3080000001,32.874838
62,008,Albania,414,Kuwait,342383.86,31.62095
63,008,Albania,218,Ecuador,96854.512,26.634118
64,008,Albania,887,Yemen,41630.971,26.01136
65,008,Albania,752,Sweden,196014.066,23.0
66,008,Albania,032,Argentina,90682.038,20.776967
67,008,Albania,344,"China, Hong Kong SAR",240364.294,15.711401
68,008,Albania,512,Oman,23348.378,15.386296999999999
69,008,Albania,120,Cameroon,40318.195999999996,10.794822
70,008,Albania,112,Belarus,15862.282,10.330073999999998
71,008,Albania,702,Singapore,132912.447,9.869852
72,008,Albania,446,"China, Macao SAR",394754.501,9.64626
73,008,Albania,608,Philippines,173877.862,9.449804
74,008,Albania,694,Sierra Leone,17564.260000000002,8.850018
75,008,Albania,428,Latvia,25884.836,8.448
76,008,Albania,768,Togo,9621.239000000001,7.656
77,008,Albania,858,Uruguay,109148.83000000002,7.45242
78,008,Albania,204,Benin,209072.156,7.242
79,008,Albania,288,Ghana,2271.427,6.630875
80,008,Albania,604,Peru,66729.01000000001,6.57182
81,008,Albania,031,Azerbaijan,23379.757999999998,5.706018000000001
82,008,Albania,258,French Polynesia,86850.50799999999,5.578692
83,008,Albania,144,Sri Lanka,66013.871,4.863526
84,008,Albania,068,Bolivia (Plurinational State of),27596.91,3.85036
85,008,Albania,388,Jamaica,45955.157,3.8429949999999997
86,008,Albania,600,Paraguay,17216.681,3.060264
87,008,Albania,024,Angola,10492.304,2.85
88,008,Albania,478,Mauritania,2692.372,2.254431
89,008,Albania,360,Indonesia,30168.301,2.108783
90,008,Albania,854,Burkina Faso,15600.246000000001,2.023086
91,008,Albania,304,Greenland,17370.935,1.877396
92,008,Albania,558,Nicaragua,18974.503999999997,1.652289
93,008,Albania,170,Colombia,86599.42,1.5568
94,008,Albania,834,"Tanzania, United Republic of",4854.576,1.546437
95,008,Albania,442,Luxembourg,17750.517,1.434458
96,008,Albania,104,Myanmar,30600.202999999998,1.412849
97,008,Albania,116,Cambodia,18057.07,1.39551
98,008,Albania,012,Algeria,5405.175,1.2513520000000002
99,008,Albania,340,Honduras,17086.482,0.7213849999999999
100,008,Albania,188,Costa Rica,89205.02100000001,0.715016
101,008,Albania,450,Madagascar,4375.1269999999995,0.64658
102,008,Albania,496,Mongolia,15986.461,0.606406
103,008,Albania,562,Niger,887.3249999999999,0.536192
104,008,Albania,233,Estonia,39823.299999999996,0.4656
105,008,Albania,591,Panama,10840.228,0.39231399999999994
106,008,Albania,508,Mozambique,3321.65,0.313859
107,008,Albania,352,Iceland,2793.378,0.288364
108,008,Albania,222,El Salvador,4932.592000000001,0.268466
109,008,Albania,417,Kyrgyzstan,32643.518,0.267803
110,008,Albania,780,Trinidad and Tobago,4048.8099999999995,0.24922000000000002
111,008,Albania,060,Bermuda,6415.607,0.21795
112,008,Albania,320,Guatemala,1261.785,0.163243
113,008,Albania,052,Barbados,1063.917,0.13092499999999999
114,008,Albania,400,Jordan,3525.332,0.050221
115,008,Albania,020,Andorra,3166.14,0.027939000000000002
116,008,Albania,670,Saint Vincent and the Grenadines,307.465,0.017696999999999997
117,008,Albania,454,Malawi,31.662999999999997,0.013975
118,008,Albania,690,Seychelles,305.534,0.008661
119,008,Albania,051,Armenia,332.297,0.005541
120,008,Albania,659,Saint Kitts and Nevis,367.156,0.004523
121,008,Albania,762,Tajikistan,77.365,0.0037849999999999997
122,008,Albania,108,Burundi,523.347,0.003616
123,008,Albania,404,Kenya,62.653,0.001902
124,008,Albania,524,Nepal,42.708,0.001327
125,008,Albania,716,Zimbabwe,23.876,0.00058
126,008,Albania,004,Afghanistan,17.525,0.000379
127,008,Albania,136,Cayman Islands,3067.412,0.000287
128,008,Albania,275,State of Palestine,1.956,8.999999999999999e-05
129,008,Albania,860,Uzbekistan,3.106,8.3e-05
