,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,008,Albania,724,Spain,27," Anthracite, not agglomerated",174083367.789,509144.137,"Spain -  Anthracite, not agglomerated"
1,008,Albania,807,North Macedonia,72," Pig iron, non-alloy, <0.5% phosphorus",34123683.196,60520.355,"North Macedonia -  Pig iron, non-alloy, <0.5% phosphorus"
2,008,Albania,840,United States of America,72," Pig iron, non-alloy, <0.5% phosphorus",28039773.708,11024.847909,"United States of America -  Pig iron, non-alloy, <0.5% phosphorus"
3,008,Albania,380,Italy,27," Anthracite, not agglomerated",20535160.6,58442.744200999994,"Italy -  Anthracite, not agglomerated"
4,008,Albania,156,China,26," Iron ore, concentrate, not iron pyrites,unagglomerate",18031581.679,68225.621272,"China -  Iron ore, concentrate, not iron pyrites,unagglomerate"
5,008,Albania,380,Italy,48, Newsprint,16730857.697,6776.329057,Italy -  Newsprint
6,008,Albania,499,Montenegro,25," Salt (sodium chloride) including solution, salt water",12264505.868,224536.84462400002,"Montenegro -  Salt (sodium chloride) including solution, salt water"
7,008,Albania,380,Italy,03," Ornamental fish, live",11558485.449,1400.363149,"Italy -  Ornamental fish, live"
8,008,Albania,276,Germany,72," Pig iron, non-alloy, <0.5% phosphorus",9990538.821,6042.746175,"Germany -  Pig iron, non-alloy, <0.5% phosphorus"
9,008,Albania,840,United States of America,12, Soya beans,9060209.762,3384.863101,United States of America -  Soya beans
10,008,Albania,276,Germany,64," Waterproof footwear (Wellingtons etc), metal toe cap",8544569.305,320.313725,"Germany -  Waterproof footwear (Wellingtons etc), metal toe cap"
11,008,Albania,499,Montenegro,72," Pig iron, non-alloy, <0.5% phosphorus",7624276.011,13086.279970000001,"Montenegro -  Pig iron, non-alloy, <0.5% phosphorus"
12,008,Albania,380,Italy,85, Electric motors of an output < 37.5 watts,7412157.963,3536.41514,Italy -  Electric motors of an output < 37.5 watts
13,008,Albania,036,Australia,31," Animal or vegetable fertilizers, in packs >10 kg",7225824.432,23458.76,"Australia -  Animal or vegetable fertilizers, in packs >10 kg"
14,008,Albania,807,North Macedonia,25," Salt (sodium chloride) including solution, salt water",7211981.607,131166.069,"North Macedonia -  Salt (sodium chloride) including solution, salt water"
15,008,Albania,380,Italy,94," Seats, aircraft",7182033.095,3280.151548,"Italy -  Seats, aircraft"
16,008,Albania,818,Egypt,27," Anthracite, not agglomerated",7097257.693,13795.992085000002,"Egypt -  Anthracite, not agglomerated"
17,008,Albania,380,Italy,87, Pedestrian controlled tractors,7020299.482,875.53189,Italy -  Pedestrian controlled tractors
18,008,Albania,203,Czechia,85, Electric motors of an output < 37.5 watts,6940790.981,361.056452,Czechia -  Electric motors of an output < 37.5 watts
19,008,Albania,276,Germany,62," Mens, boys overcoats of wool or hair, not knit",6648201.763,275.150349,"Germany -  Mens, boys overcoats of wool or hair, not knit"
20,008,Albania,380,Italy,73, Sheet piling of iron or steel,5553845.866,3064.422688,Italy -  Sheet piling of iron or steel
21,008,Albania,807,North Macedonia,26," Iron ore, concentrate, not iron pyrites,unagglomerate",5463205.709,275644.6,"North Macedonia -  Iron ore, concentrate, not iron pyrites,unagglomerate"
22,008,Albania,470,Malta,25," Salt (sodium chloride) including solution, salt water",5118660.94,135735.0,"Malta -  Salt (sodium chloride) including solution, salt water"
23,008,Albania,276,Germany,12, Soya beans,5082114.129,1582.308776,Germany -  Soya beans
24,008,Albania,499,Montenegro,27," Anthracite, not agglomerated",4956297.769,11672.933050000001,"Montenegro -  Anthracite, not agglomerated"
25,008,Albania,499,Montenegro,07," Potatoes seed, fresh or chilled",4949428.774,8044.570299999999,"Montenegro -  Potatoes seed, fresh or chilled"
26,008,Albania,380,Italy,44, Fuel wood,4761302.808,15120.125313999999,Italy -  Fuel wood
27,008,Albania,688,Serbia,07," Potatoes seed, fresh or chilled",4737138.632,4611.6506,"Serbia -  Potatoes seed, fresh or chilled"
28,008,Albania,807,North Macedonia,76," Aluminium unwrought, not alloyed",4478236.269,1976.926,"North Macedonia -  Aluminium unwrought, not alloyed"
29,008,Albania,356,India,72," Pig iron, non-alloy, <0.5% phosphorus",4215929.968,2171.703125,"India -  Pig iron, non-alloy, <0.5% phosphorus"
30,008,Albania,276,Germany,85, Electric motors of an output < 37.5 watts,4112077.539,230.946226,Germany -  Electric motors of an output < 37.5 watts
31,008,Albania,807,North Macedonia,07," Potatoes seed, fresh or chilled",3862399.535,7336.884,"North Macedonia -  Potatoes seed, fresh or chilled"
32,008,Albania,392,Japan,72," Pig iron, non-alloy, <0.5% phosphorus",3780655.235,2398.191857,"Japan -  Pig iron, non-alloy, <0.5% phosphorus"
33,008,Albania,380,Italy,39, Polyethylene - specific gravity <0.94 in primary form,3751905.866,1636.634679,Italy -  Polyethylene - specific gravity <0.94 in primary form
34,008,Albania,040,Austria,72," Pig iron, non-alloy, <0.5% phosphorus",3569628.146,2266.4378420000003,"Austria -  Pig iron, non-alloy, <0.5% phosphorus"
35,008,Albania,499,Montenegro,38, Artificial graphite,3460733.948,50572.682810000006,Montenegro -  Artificial graphite
36,008,Albania,250,France,87, Pedestrian controlled tractors,3437484.745,331.233602,France -  Pedestrian controlled tractors
37,008,Albania,499,Montenegro,76," Aluminium unwrought, not alloyed",3363803.105,808.7456500000001,"Montenegro -  Aluminium unwrought, not alloyed"
38,008,Albania,380,Italy,84, Nuclear reactors,3354977.03,994.196287,Italy -  Nuclear reactors
39,008,Albania,840,United States of America,64," Waterproof footwear (Wellingtons etc), metal toe cap",3303432.519,116.644662,"United States of America -  Waterproof footwear (Wellingtons etc), metal toe cap"
40,008,Albania,300,Greece,72," Pig iron, non-alloy, <0.5% phosphorus",3197699.838,11191.93,"Greece -  Pig iron, non-alloy, <0.5% phosphorus"
41,008,Albania,380,Italy,76," Aluminium unwrought, not alloyed",2903509.146,539.5842630000001,"Italy -  Aluminium unwrought, not alloyed"
42,008,Albania,380,Italy,83, Padlocks of base metal,2854874.899,1200.69155,Italy -  Padlocks of base metal
43,008,Albania,703,Slovakia,22, Mineral and aerated waters not sweetened or flavoured,2650145.185,1236.024,Slovakia -  Mineral and aerated waters not sweetened or flavoured
44,008,Albania,499,Montenegro,69," Bricks, blocks and ceramic goods of siliceous earths",2623872.872,69058.8854,"Montenegro -  Bricks, blocks and ceramic goods of siliceous earths"
45,008,Albania,276,Germany,90," Optical fibres, except for telecommunications",2481024.664,149.683473,"Germany -  Optical fibres, except for telecommunications"
46,008,Albania,807,North Macedonia,27," Anthracite, not agglomerated",2384697.255,4871.228,"North Macedonia -  Anthracite, not agglomerated"
47,008,Albania,688,Serbia,27," Anthracite, not agglomerated",2132243.804,11547.951825,"Serbia -  Anthracite, not agglomerated"
48,008,Albania,250,France,63, Electric blankets of textile material,2088326.167,269.773055,France -  Electric blankets of textile material
49,008,Albania,840,United States of America,33, Essential oils of bergamot,2051476.13,14.850596,United States of America -  Essential oils of bergamot
50,008,Albania,724,Spain,03," Ornamental fish, live",2013772.336,373.6095,"Spain -  Ornamental fish, live"
51,008,Albania,250,France,84, Nuclear reactors,1986488.508,186.79966000000002,France -  Nuclear reactors
52,008,Albania,380,Italy,16," Sausages, similar products of meat, meat offal & bloo",1801045.045,227.971563,"Italy -  Sausages, similar products of meat, meat offal & bloo"
53,008,Albania,470,Malta,27," Anthracite, not agglomerated",1775236.994,3907.78,"Malta -  Anthracite, not agglomerated"
54,008,Albania,792,Türkiye,85, Electric motors of an output < 37.5 watts,1656723.0,252.333,Türkiye -  Electric motors of an output < 37.5 watts
55,008,Albania,380,Italy,08," Coconuts, fresh or dried",1600754.785,496.09737199999995,"Italy -  Coconuts, fresh or dried"
56,008,Albania,276,Germany,61," Mens, boys overcoats, etc, of wool or hair, knit",1549491.447,68.562349,"Germany -  Mens, boys overcoats, etc, of wool or hair, knit"
57,008,Albania,470,Malta,03," Ornamental fish, live",1547871.052,99.55,"Malta -  Ornamental fish, live"
58,008,Albania,250,France,64," Waterproof footwear (Wellingtons etc), metal toe cap",1480967.548,50.926383,"France -  Waterproof footwear (Wellingtons etc), metal toe cap"
59,008,Albania,826,United Kingdom,72," Pig iron, non-alloy, <0.5% phosphorus",1460287.913,988.9520060000001,"United Kingdom -  Pig iron, non-alloy, <0.5% phosphorus"
60,008,Albania,250,France,39, Polyethylene - specific gravity <0.94 in primary form,1156191.116,307.566967,France -  Polyethylene - specific gravity <0.94 in primary form
61,008,Albania,804,Ukraine,72," Pig iron, non-alloy, <0.5% phosphorus",1150084.54,622.2325529999999,"Ukraine -  Pig iron, non-alloy, <0.5% phosphorus"
62,008,Albania,276,Germany,44, Fuel wood,1131581.733,190.254924,Germany -  Fuel wood
63,008,Albania,276,Germany,94," Seats, aircraft",1117106.5,467.515604,"Germany -  Seats, aircraft"
64,008,Albania,276,Germany,71," Pearls natural, not permanently mounted or set",1019198.432,105.362693,"Germany -  Pearls natural, not permanently mounted or set"
65,008,Albania,792,Türkiye,26," Iron ore, concentrate, not iron pyrites,unagglomerate",1013156.0,7467.7,"Türkiye -  Iron ore, concentrate, not iron pyrites,unagglomerate"
66,008,Albania,807,North Macedonia,48, Newsprint,1001509.479,438.318,North Macedonia -  Newsprint
67,008,Albania,380,Italy,61," Mens, boys overcoats, etc, of wool or hair, knit",1001255.381,53.361093000000004,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
68,008,Albania,348,Hungary,64," Waterproof footwear (Wellingtons etc), metal toe cap",995840.576,47.684984,"Hungary -  Waterproof footwear (Wellingtons etc), metal toe cap"
69,008,Albania,380,Italy,07," Potatoes seed, fresh or chilled",992428.663,769.342184,"Italy -  Potatoes seed, fresh or chilled"
70,008,Albania,840,United States of America,61," Mens, boys overcoats, etc, of wool or hair, knit",977756.507,24.775872,"United States of America -  Mens, boys overcoats, etc, of wool or hair, knit"
71,008,Albania,250,France,22, Mineral and aerated waters not sweetened or flavoured,965220.059,298.99577,France -  Mineral and aerated waters not sweetened or flavoured
72,008,Albania,036,Australia,72," Pig iron, non-alloy, <0.5% phosphorus",964809.524,498.18,"Australia -  Pig iron, non-alloy, <0.5% phosphorus"
73,008,Albania,250,France,12, Soya beans,953493.088,187.964948,France -  Soya beans
74,008,Albania,380,Italy,72," Pig iron, non-alloy, <0.5% phosphorus",943810.47,719.4752129999999,"Italy -  Pig iron, non-alloy, <0.5% phosphorus"
75,008,Albania,380,Italy,25," Salt (sodium chloride) including solution, salt water",928599.653,10674.658701,"Italy -  Salt (sodium chloride) including solution, salt water"
76,008,Albania,807,North Macedonia,96," Worked ivory, articles of ivory",897570.89,530.172,"North Macedonia -  Worked ivory, articles of ivory"
77,008,Albania,250,France,61," Mens, boys overcoats, etc, of wool or hair, knit",891766.604,32.810737,"France -  Mens, boys overcoats, etc, of wool or hair, knit"
78,008,Albania,380,Italy,95," Rideable wheeled toys, dolls carriages",866224.839,551.738355,"Italy -  Rideable wheeled toys, dolls carriages"
79,008,Albania,807,North Macedonia,22, Mineral and aerated waters not sweetened or flavoured,858676.451,1477.872,North Macedonia -  Mineral and aerated waters not sweetened or flavoured
80,008,Albania,380,Italy,70," Glass cullet, waste or scrap, glass in the mass",830869.484,1175.463539,"Italy -  Glass cullet, waste or scrap, glass in the mass"
81,008,Albania,250,France,96," Worked ivory, articles of ivory",820520.718,37.482747,"France -  Worked ivory, articles of ivory"
82,008,Albania,724,Spain,73, Sheet piling of iron or steel,817328.574,576.4327,Spain -  Sheet piling of iron or steel
83,008,Albania,250,France,26," Iron ore, concentrate, not iron pyrites,unagglomerate",816654.187,1490.48783,"France -  Iron ore, concentrate, not iron pyrites,unagglomerate"
84,008,Albania,499,Montenegro,08," Coconuts, fresh or dried",813814.285,2211.3786,"Montenegro -  Coconuts, fresh or dried"
85,008,Albania,686,Senegal,87, Pedestrian controlled tractors,808633.462,385.324068,Senegal -  Pedestrian controlled tractors
86,008,Albania,380,Italy,68," Stone setts, curbstones, flagstones (except slate)",788167.945,3176.300943,"Italy -  Stone setts, curbstones, flagstones (except slate)"
87,008,Albania,250,France,72," Pig iron, non-alloy, <0.5% phosphorus",785049.987,880.9226639999999,"France -  Pig iron, non-alloy, <0.5% phosphorus"
88,008,Albania,300,Greece,25," Salt (sodium chloride) including solution, salt water",769913.405,6164.34,"Greece -  Salt (sodium chloride) including solution, salt water"
89,008,Albania,528,Netherlands (Kingdom of the),84, Nuclear reactors,754071.533,33.2868,Netherlands (Kingdom of the) -  Nuclear reactors
90,008,Albania,634,Qatar,76," Aluminium unwrought, not alloyed",741457.73,41.266143,"Qatar -  Aluminium unwrought, not alloyed"
91,008,Albania,807,North Macedonia,32, Quebracho tanning extract,728711.543,4391.947,North Macedonia -  Quebracho tanning extract
92,008,Albania,840,United States of America,94," Seats, aircraft",726134.835,153.339654,"United States of America -  Seats, aircraft"
93,008,Albania,250,France,68," Stone setts, curbstones, flagstones (except slate)",708913.277,2364.58117,"France -  Stone setts, curbstones, flagstones (except slate)"
94,008,Albania,100,Bulgaria,74, Copper mattes,703540.907,118.69749800000001,Bulgaria -  Copper mattes
95,008,Albania,807,North Macedonia,08," Coconuts, fresh or dried",701231.845,1406.63,"North Macedonia -  Coconuts, fresh or dried"
96,008,Albania,392,Japan,16," Sausages, similar products of meat, meat offal & bloo",694147.619,38.861846,"Japan -  Sausages, similar products of meat, meat offal & bloo"
97,008,Albania,380,Italy,74, Copper mattes,694083.309,196.72938200000002,Italy -  Copper mattes
98,008,Albania,840,United States of America,62," Mens, boys overcoats of wool or hair, not knit",690365.509,21.102144,"United States of America -  Mens, boys overcoats of wool or hair, not knit"
