,imp_code_str3,imp_name,HS2,description,USD,tonne
0,008,Albania,27," Anthracite, not agglomerated",400837072.0,460744.175
1,008,Albania,25," Salt (sodium chloride) including solution, salt water",22612309.0,400116.23000000004
2,008,Albania,10, Durum wheat,86463165.0,330467.40499999997
3,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",147883907.0,320183.138
4,008,Albania,44, Fuel wood,67041498.0,207539.764
5,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",79909230.0,204995.70500000002
6,008,Albania,87, Pedestrian controlled tractors,334470207.0,107493.756
7,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,87802701.0,98417.312
8,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",27813882.0,85448.813
9,008,Albania,73, Sheet piling of iron or steel,135886289.0,72468.56
10,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,199743177.0,71821.855
11,008,Albania,08," Coconuts, fresh or dried",49410715.0,68726.022
12,008,Albania,48, Newsprint,105353513.0,68048.10800000001
13,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",29833121.0,65119.155999999995
14,008,Albania,17," Raw sugar, cane",27417158.0,63990.791
15,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",19168395.0,61311.093
16,008,Albania,84, Nuclear reactors,418013652.0,54536.033
17,008,Albania,34," Soaps, for toilet use, solid",58777814.0,44497.245
18,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",32964822.0,42969.641
19,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",64550439.0,36486.619
20,008,Albania,11, Wheat or meslin flour,11222114.0,36192.311
21,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",62032928.0,33943.249
22,008,Albania,15," Lard, other pig fat and poultry fat, rendered",34478717.0,30878.927
23,008,Albania,07," Potatoes seed, fresh or chilled",12882272.0,27345.811999999998
24,008,Albania,85, Electric motors of an output < 37.5 watts,349515681.0,26737.22
25,008,Albania,32, Quebracho tanning extract,32334551.0,26080.794
26,008,Albania,38, Artificial graphite,35800314.0,25476.34
27,008,Albania,28, Chlorine,11140954.0,23814.713
28,008,Albania,76," Aluminium unwrought, not alloyed",59016713.0,20283.521
29,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",28477776.0,17656.944
30,008,Albania,03," Ornamental fish, live",68554026.0,17354.217
31,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,24581901.0,16308.176000000001
32,008,Albania,94," Seats, aircraft",73769156.0,15751.392
33,008,Albania,21," Coffee extracts, essences, concentrates, preparations",52456016.0,15574.131
34,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",143861252.0,14174.866
35,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",135398719.0,12705.934
36,008,Albania,63, Electric blankets of textile material,26947589.0,12550.025
37,008,Albania,01," Horses, live pure-bred breeding",25174338.0,12014.198
38,008,Albania,40," Natural rubber latex, including prevulcanised",43652674.0,9778.965
39,008,Albania,33, Essential oils of bergamot,66848574.0,9408.676
40,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",133632865.0,9211.897
41,008,Albania,09," Coffee, not roasted, not decaffeinated",32824251.0,8067.455
42,008,Albania,83, Padlocks of base metal,53945243.0,7727.181
43,008,Albania,60," ""Long pile"" knit or crochet textile fabric",65225973.0,7550.191
44,008,Albania,41," Bovine skins, whole, raw",149361576.0,7062.99
45,008,Albania,54, Sewing thread of synthetic filaments,42209472.0,5827.369000000001
46,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",6280377.0,5740.992
47,008,Albania,96," Worked ivory, articles of ivory",36306380.0,5299.91
48,008,Albania,18," Cocoa beans, whole or broken, raw or roasted",20672755.0,4852.319
49,008,Albania,29, Saturated acyclic hydrocarbons,13356199.0,4653.425
50,008,Albania,59, Gum or amylaceous covered textiles for book covers et,42007891.0,4526.39
51,008,Albania,52," Cotton, not carded or combed",57742068.0,4214.09
52,008,Albania,56," Sanitary towels, diapers and similar articles",19102763.0,4073.175
53,008,Albania,30," Glands and other organs, dried, for therapeutic uses",160278588.0,3739.569
54,008,Albania,35, Casein,11027685.0,3713.0
55,008,Albania,55," Filament tow of nylon, polyamides",39629155.0,3505.846
56,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",15159065.0,3293.488
57,008,Albania,24," Tobacco, unmanufactured, not stemmed or stripped",53416244.0,3281.199
