,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,380,Italy,008,Albania,1481975283.0,639568.358
1,156,China,008,Albania,469921673.0,123797.803
2,792,TÃ¼rkiye,008,Albania,413980250.0,285782.597
3,300,Greece,008,Albania,408810403.0,419143.287
4,276,Germany,008,Albania,316771232.0,101262.205
5,688,Serbia,008,Albania,186011858.0,376024.715
6,643,Russian Federation,008,Albania,124155829.0,350875.254
7,724,Spain,008,Albania,114106080.0,133758.511
8,807,North Macedonia,008,Albania,89046383.0,190985.719
9,528,Netherlands,008,Albania,83540990.0,22869.078999999998
10,100,Bulgaria,008,Albania,79401398.0,61754.661
11,642,Romania,008,Albania,72517896.0,54285.195
12,250,France,008,Albania,72414283.0,36407.78
13,616,Poland,008,Albania,68580682.0,22955.937
14,191,Croatia,008,Albania,66013915.0,40425.648
15,203,Czechia,008,Albania,54191020.0,13066.218
16,040,Austria,008,Albania,53878137.0,22266.252
17,840,USA,008,Albania,53774325.0,32330.459
18,348,Hungary,008,Albania,51366319.0,15996.212
19,076,Brazil,008,Albania,50577107.0,25854.607
20,756,Switzerland,008,Albania,48152748.0,8401.846
21,705,Slovenia,008,Albania,40518150.0,7385.778
22,356,India,008,Albania,33284823.0,25462.953999999998
23,826,United Kingdom,008,Albania,32697421.0,8409.491
24,124,Canada,008,Albania,31337208.0,5345.339
25,056,Belgium,008,Albania,30116766.0,34399.153
26,376,Israel,008,Albania,28646628.0,42982.122
27,703,Slovakia,008,Albania,25081205.0,3549.479
28,410,Rep. of Korea,008,Albania,20585240.0,3337.8669999999997
29,070,Bosnia Herzegovina,008,Albania,20240083.0,47447.145
30,208,Denmark,008,Albania,19541221.0,4265.063
31,218,Ecuador,008,Albania,18220517.0,20309.087000000003
32,784,United Arab Emirates,008,Albania,18115858.0,4825.884
33,499,Montenegro,008,Albania,15296404.0,46866.409
34,704,Viet Nam,008,Albania,13300378.0,981.9250000000001
35,818,Egypt,008,Albania,13276478.0,21151.974000000002
36,392,Japan,008,Albania,13248603.0,3593.1150000000002
37,372,Ireland,008,Albania,13189954.0,529.576
38,620,Portugal,008,Albania,11220901.0,7977.132
39,752,Sweden,008,Albania,10410811.0,7737.69
40,458,Malaysia,008,Albania,10276090.0,11525.47
41,170,Colombia,008,Albania,10221037.0,30178.517
42,360,Indonesia,008,Albania,9797159.0,6150.978999999999
43,050,Bangladesh,008,Albania,8327111.0,322.135
44,788,Tunisia,008,Albania,7278020.0,19930.451
45,764,Thailand,008,Albania,6817857.0,4429.407
46,032,Argentina,008,Albania,4836782.0,6028.61
47,422,Lebanon,008,Albania,4784831.0,16987.228000000003
48,490,"Other Asia, nes",008,Albania,4488290.0,1524.742
49,344,"China, Hong Kong SAR",008,Albania,4087705.0,94.339
50,586,Pakistan,008,Albania,3798189.0,3705.93
51,578,Norway,008,Albania,3749822.0,2206.033
52,710,South Africa,008,Albania,3158205.0,593.505
53,440,Lithuania,008,Albania,3124509.0,1337.5710000000001
54,246,Finland,008,Albania,2623635.0,3288.1960000000004
55,682,Saudi Arabia,008,Albania,2389807.0,1860.571
56,036,Australia,008,Albania,2316521.0,1175.442
57,196,Cyprus,008,Albania,1947599.0,141.94299999999998
58,364,Iran,008,Albania,1402966.0,1143.864
59,702,Singapore,008,Albania,1287112.0,826.311
60,504,Morocco,008,Albania,1175242.0,366.809
61,428,Latvia,008,Albania,1085999.0,636.707
62,600,Paraguay,008,Albania,924483.0,848.764
63,484,Mexico,008,Albania,579204.0,170.89399999999998
64,116,Cambodia,008,Albania,559403.0,11.254999999999999
65,604,Peru,008,Albania,522662.0,122.78800000000001
66,442,Luxembourg,008,Albania,505092.0,467.346
67,804,Ukraine,008,Albania,437823.0,144.207
68,188,Costa Rica,008,Albania,435362.0,972.9180000000001
69,591,Panama,008,Albania,413975.0,67.72
70,268,Georgia,008,Albania,290865.0,45.794
71,233,Estonia,008,Albania,268402.0,263.858
72,470,Malta,008,Albania,252755.0,58.165
73,400,Jordan,008,Albania,223695.0,180.612
74,214,Dominican Rep.,008,Albania,217872.0,16.683999999999997
75,414,Kuwait,008,Albania,207611.0,119.121
76,152,Chile,008,Albania,142264.0,1.4609999999999999
77,608,Philippines,008,Albania,122630.0,5.9190000000000005
78,858,Uruguay,008,Albania,113150.0,55.22
79,512,Oman,008,Albania,111573.0,72.9
80,554,New Zealand,008,Albania,104465.0,44.288000000000004
81,112,Belarus,008,Albania,94100.0,48.824
82,417,Kyrgyzstan,008,Albania,93560.0,7.809
83,480,Mauritius,008,Albania,92097.0,125.043
84,800,Uganda,008,Albania,67479.0,35.609
85,120,Cameroon,008,Albania,66899.0,30.336
86,320,Guatemala,008,Albania,56874.0,129.963
87,384,CÃ´te d'Ivoire,008,Albania,53125.0,27.828
88,104,Myanmar,008,Albania,46047.0,22.301000000000002
89,729,Sudan,008,Albania,44429.0,39.0
90,231,Ethiopia,008,Albania,26218.0,8.372
91,192,Cuba,008,Albania,21282.0,0.027
92,398,Kazakhstan,008,Albania,18534.0,8.52
93,340,Honduras,008,Albania,17889.0,4.918
94,048,Bahrain,008,Albania,15886.0,6.264
95,144,Sri Lanka,008,Albania,9323.0,1.19
96,051,Armenia,008,Albania,4200.0,0.024
97,404,Kenya,008,Albania,3028.0,0.408
98,860,Uzbekistan,008,Albania,2610.0,21.0
99,024,Angola,008,Albania,2379.0,3.7489999999999997
100,352,Iceland,008,Albania,1474.0,0.005
101,674,San Marino,008,Albania,1356.0,0.05
102,562,Niger,008,Albania,598.0,0.953
103,096,Brunei Darussalam,008,Albania,14.0,0.001
