,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,380,Italy,008,Albania,25," Salt (sodium chloride) including solution, salt water",8274063.0,178442.54,"Italy -  Salt (sodium chloride) including solution, salt water"
1,688,Serbia,008,Albania,10, Durum wheat,31331534.0,154972.515,Serbia -  Durum wheat
2,643,Russian Federation,008,Albania,10, Durum wheat,37187583.0,137902.185,Russian Federation -  Durum wheat
3,300,Greece,008,Albania,25," Salt (sodium chloride) including solution, salt water",5164854.0,92276.34300000001,"Greece -  Salt (sodium chloride) including solution, salt water"
4,643,Russian Federation,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",26347162.0,85869.41,"Russian Federation -  Pig iron, non-alloy, <0.5% phosphorus"
5,380,Italy,008,Albania,27," Anthracite, not agglomerated",112257076.0,77589.654,"Italy -  Anthracite, not agglomerated"
6,643,Russian Federation,008,Albania,27," Anthracite, not agglomerated",39960778.0,74984.478,"Russian Federation -  Anthracite, not agglomerated"
7,724,Spain,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",20624038.0,68233.72200000001,"Spain -  Bricks, blocks and ceramic goods of siliceous earths"
8,792,TÃ¼rkiye,008,Albania,25," Salt (sodium chloride) including solution, salt water",5292599.0,68127.657,"TÃ¼rkiye -  Salt (sodium chloride) including solution, salt water"
9,300,Greece,008,Albania,27," Anthracite, not agglomerated",68171740.0,66399.637,"Greece -  Anthracite, not agglomerated"
10,807,North Macedonia,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",22822238.0,66219.411,"North Macedonia -  Pig iron, non-alloy, <0.5% phosphorus"
11,792,TÃ¼rkiye,008,Albania,44, Fuel wood,22214510.0,49728.608,TÃ¼rkiye -  Fuel wood
12,688,Serbia,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",15698172.0,49078.332,"Serbia -  Pig iron, non-alloy, <0.5% phosphorus"
13,276,Germany,008,Albania,87, Pedestrian controlled tractors,115985148.0,46001.48,Germany -  Pedestrian controlled tractors
14,724,Spain,008,Albania,27," Anthracite, not agglomerated",39974682.0,45586.208000000006,"Spain -  Anthracite, not agglomerated"
15,807,North Macedonia,008,Albania,25," Salt (sodium chloride) including solution, salt water",1599181.0,44479.78,"North Macedonia -  Salt (sodium chloride) including solution, salt water"
16,376,Israel,008,Albania,27," Anthracite, not agglomerated",28285718.0,42979.237,"Israel -  Anthracite, not agglomerated"
17,300,Greece,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",4646738.0,40161.554000000004,"Greece -  Bricks, blocks and ceramic goods of siliceous earths"
18,642,Romania,008,Albania,27," Anthracite, not agglomerated",28370603.0,37155.28,"Romania -  Anthracite, not agglomerated"
19,792,TÃ¼rkiye,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",32088485.0,36899.705,"TÃ¼rkiye -  Pig iron, non-alloy, <0.5% phosphorus"
20,070,Bosnia Herzegovina,008,Albania,44, Fuel wood,7061617.0,33598.844000000005,Bosnia Herzegovina -  Fuel wood
21,688,Serbia,008,Albania,23," Flour or meal, pellet of meat or offal for animal fee",6091107.0,32292.837,"Serbia -  Flour or meal, pellet of meat or offal for animal fee"
22,300,Greece,008,Albania,08," Coconuts, fresh or dried",19665191.0,32150.564,"Greece -  Coconuts, fresh or dried"
23,380,Italy,008,Albania,87, Pedestrian controlled tractors,67501540.0,30211.354,Italy -  Pedestrian controlled tractors
24,300,Greece,008,Albania,44, Fuel wood,6709857.0,29817.698,Greece -  Fuel wood
25,643,Russian Federation,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",6451396.0,29438.059999999998,"Russian Federation -  Animal or vegetable fertilizers, in packs >10 kg"
26,499,Montenegro,008,Albania,44, Fuel wood,4508921.0,28858.875,Montenegro -  Fuel wood
27,170,Colombia,008,Albania,27," Anthracite, not agglomerated",8469376.0,28378.91,"Colombia -  Anthracite, not agglomerated"
28,380,Italy,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",11671892.0,26601.84,"Italy -  Bricks, blocks and ceramic goods of siliceous earths"
29,380,Italy,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,27254332.0,26197.022,Italy -  Mineral and aerated waters not sweetened or flavoured
30,688,Serbia,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,12251646.0,25895.843999999997,Serbia -  Mineral and aerated waters not sweetened or flavoured
31,380,Italy,008,Albania,48, Newsprint,50798748.0,25706.65,Italy -  Newsprint
32,056,Belgium,008,Albania,17," Raw sugar, cane",8838992.0,24855.596999999998,"Belgium -  Raw sugar, cane"
33,688,Serbia,008,Albania,11, Wheat or meslin flour,4591381.0,22585.729,Serbia -  Wheat or meslin flour
34,840,USA,008,Albania,27," Anthracite, not agglomerated",1425596.0,22497.029,"USA -  Anthracite, not agglomerated"
35,807,North Macedonia,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",4840629.0,22416.275,"North Macedonia -  Stone setts, curbstones, flagstones (except slate)"
36,300,Greece,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",14717852.0,21579.214,"Greece -  Pig iron, non-alloy, <0.5% phosphorus"
37,818,Egypt,008,Albania,27," Anthracite, not agglomerated",12667498.0,20638.4,"Egypt -  Anthracite, not agglomerated"
38,380,Italy,008,Albania,73, Sheet piling of iron or steel,46388466.0,19989.499,Italy -  Sheet piling of iron or steel
39,380,Italy,008,Albania,84, Nuclear reactors,125858725.0,19577.965,Italy -  Nuclear reactors
40,218,Ecuador,008,Albania,08," Coconuts, fresh or dried",14522520.0,19470.056,"Ecuador -  Coconuts, fresh or dried"
41,380,Italy,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,62860326.0,19310.138,Italy -  Polyethylene - specific gravity <0.94 in primary form
42,792,TÃ¼rkiye,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",7835348.0,19121.998,"TÃ¼rkiye -  Bricks, blocks and ceramic goods of siliceous earths"
43,156,China,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",19928099.0,17696.661999999997,"China -  Bricks, blocks and ceramic goods of siliceous earths"
44,380,Italy,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",6721983.0,17154.485,"Italy -  Stone setts, curbstones, flagstones (except slate)"
45,422,Lebanon,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",4694897.0,16952.9,"Lebanon -  Pig iron, non-alloy, <0.5% phosphorus"
46,191,Croatia,008,Albania,27," Anthracite, not agglomerated",20533882.0,16737.336,"Croatia -  Anthracite, not agglomerated"
47,688,Serbia,008,Albania,44, Fuel wood,2956880.0,16656.647,Serbia -  Fuel wood
48,076,Brazil,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",39631449.0,16433.035,"Brazil -  Bovine carcasses and half carcasses, fresh or chilled"
49,380,Italy,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",15759444.0,16159.686,"Italy -  Pig iron, non-alloy, <0.5% phosphorus"
50,276,Germany,008,Albania,17," Raw sugar, cane",3216846.0,15499.505000000001,"Germany -  Raw sugar, cane"
51,100,Bulgaria,008,Albania,44, Fuel wood,2228249.0,14730.664,Bulgaria -  Fuel wood
52,380,Italy,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",22059099.0,14134.652,"Italy -  Infant foods of cereals, flour, starch or milk, retai"
53,156,China,008,Albania,73, Sheet piling of iron or steel,22546260.0,13099.045999999998,China -  Sheet piling of iron or steel
54,380,Italy,008,Albania,34," Soaps, for toilet use, solid",15967723.0,12465.51,"Italy -  Soaps, for toilet use, solid"
55,356,India,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",7931682.0,12257.029,"India -  Bricks, blocks and ceramic goods of siliceous earths"
