,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,380,Italy,008,Albania,41," Bovine skins, whole, raw",128176541.0,5592.145,"Italy -  Bovine skins, whole, raw"
1,380,Italy,008,Albania,84, Nuclear reactors,125858725.0,19577.965,Italy -  Nuclear reactors
2,276,Germany,008,Albania,87, Pedestrian controlled tractors,115985148.0,46001.48,Germany -  Pedestrian controlled tractors
3,380,Italy,008,Albania,27," Anthracite, not agglomerated",112257076.0,77589.654,"Italy -  Anthracite, not agglomerated"
4,156,China,008,Albania,85, Electric motors of an output < 37.5 watts,91166423.0,6392.876,China -  Electric motors of an output < 37.5 watts
5,380,Italy,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",90413326.0,8559.386999999999,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
6,156,China,008,Albania,84, Nuclear reactors,86429599.0,11494.412,China -  Nuclear reactors
7,380,Italy,008,Albania,85, Electric motors of an output < 37.5 watts,84862805.0,8810.311,Italy -  Electric motors of an output < 37.5 watts
8,380,Italy,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",75962749.0,4875.831,"Italy -  Mens, boys overcoats of wool or hair, not knit"
9,300,Greece,008,Albania,27," Anthracite, not agglomerated",68171740.0,66399.637,"Greece -  Anthracite, not agglomerated"
10,380,Italy,008,Albania,87, Pedestrian controlled tractors,67501540.0,30211.354,Italy -  Pedestrian controlled tractors
11,380,Italy,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",66048138.0,2466.565,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
12,380,Italy,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,62860326.0,19310.138,Italy -  Polyethylene - specific gravity <0.94 in primary form
13,380,Italy,008,Albania,48, Newsprint,50798748.0,25706.65,Italy -  Newsprint
14,380,Italy,008,Albania,73, Sheet piling of iron or steel,46388466.0,19989.499,Italy -  Sheet piling of iron or steel
