,exp_code_str3,exp_name,HS2,description,USD,tonne
0,008,Albania,26," Iron ore, concentrate, not iron pyrites,unagglomerate",76824592.0,803574.219
1,008,Albania,25," Salt (sodium chloride) including solution, salt water",52406451.0,765033.116
2,008,Albania,27," Anthracite, not agglomerated",317967036.0,638103.688
3,008,Albania,72," Pig iron, non-alloy, <0.5% phosphorus",170923352.0,152510.952
4,008,Albania,69," Bricks, blocks and ceramic goods of siliceous earths",6224345.0,121716.227
5,008,Albania,07," Potatoes seed, fresh or chilled",65734107.0,100231.047
6,008,Albania,44, Fuel wood,25537979.0,69282.737
7,008,Albania,38, Artificial graphite,4588410.0,50653.627
8,008,Albania,64," Waterproof footwear (Wellingtons etc), metal toe cap",680231000.0,33563.709
9,008,Albania,68," Stone setts, curbstones, flagstones (except slate)",7463960.0,32193.8
10,008,Albania,08," Coconuts, fresh or dried",23809875.0,30359.233
11,008,Albania,31," Animal or vegetable fertilizers, in packs >10 kg",8059599.0,23486.613999999998
12,008,Albania,76," Aluminium unwrought, not alloyed",61020515.0,22982.983
13,008,Albania,48, Newsprint,51352623.0,18305.603
14,008,Albania,61," Mens, boys overcoats, etc, of wool or hair, knit",294744120.0,16662.096
15,008,Albania,32, Quebracho tanning extract,6698089.0,15113.728
16,008,Albania,85, Electric motors of an output < 37.5 watts,93052728.0,13789.49
17,008,Albania,73, Sheet piling of iron or steel,27587124.0,13229.656
18,008,Albania,94," Seats, aircraft",37175572.0,13111.161
19,008,Albania,62," Mens, boys overcoats of wool or hair, not knit",309419734.0,11257.889000000001
20,008,Albania,12, Soya beans,32339803.0,10532.974
21,008,Albania,39, Polyethylene - specific gravity <0.94 in primary form,19606601.0,10029.655
22,008,Albania,28, Chlorine,1528433.0,8785.923
23,008,Albania,47, Mechanical wood pulp,1135636.0,8323.535
24,008,Albania,03," Ornamental fish, live",43325964.0,6886.794
25,008,Albania,83, Padlocks of base metal,49295289.0,6850.012
26,008,Albania,22, Mineral and aerated waters not sweetened or flavoured,10090863.0,5728.58
27,008,Albania,16," Sausages, similar products of meat, meat offal & bloo",57131001.0,5707.881
28,008,Albania,41," Bovine skins, whole, raw",18042820.0,4616.353
29,008,Albania,84, Nuclear reactors,29140317.0,4369.911
30,008,Albania,20," Cucumbers,gherkins, prepared or preserved by vinegar",7589169.0,4160.117
31,008,Albania,87, Pedestrian controlled tractors,30821178.0,3979.675
32,008,Albania,19," Infant foods of cereals, flour, starch or milk, retai",7467119.0,3564.406
33,008,Albania,63, Electric blankets of textile material,19440670.0,3512.7599999999998
34,008,Albania,70," Glass cullet, waste or scrap, glass in the mass",3480102.0,3120.189
35,008,Albania,78, Lead refined unwrought,6425565.0,2880.823
36,008,Albania,74, Copper mattes,16470697.0,2812.1530000000002
37,008,Albania,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",1723001.0,2597.6420000000003
38,008,Albania,36, Propellent powders,2124779.0,2283.4210000000003
39,008,Albania,09," Coffee, not roasted, not decaffeinated",5263075.0,1801.8380000000002
40,008,Albania,40," Natural rubber latex, including prevulcanised",5329920.0,1508.383
41,008,Albania,95," Rideable wheeled toys, dolls carriages",3795321.0,1336.0049999999999
42,008,Albania,05," Hair, human, unworked, waste of human hair",3251314.0,1164.3310000000001
43,008,Albania,04, Milk not concentrated nor sweetened < 1% fat,1482353.0,1113.886
44,008,Albania,96," Worked ivory, articles of ivory",4191365.0,993.8620000000001
45,008,Albania,33, Essential oils of bergamot,12531681.0,888.506
46,008,Albania,15," Lard, other pig fat and poultry fat, rendered",1165110.0,880.7389999999999
47,008,Albania,35, Casein,491022.0,814.737
48,008,Albania,34," Soaps, for toilet use, solid",918684.0,766.349
49,008,Albania,14, Bamboos used primarily for plaiting,161001.0,758.3130000000001
50,008,Albania,24," Tobacco, unmanufactured, not stemmed or stripped",2908048.0,696.72
51,008,Albania,90," Optical fibres, except for telecommunications",12690811.0,530.509
52,008,Albania,21," Coffee extracts, essences, concentrates, preparations",2333294.0,358.672
53,008,Albania,11, Wheat or meslin flour,157319.0,339.18699999999995
54,008,Albania,65," Hat-forms, etc of felt, not shaped, no formed brim",9297978.0,266.185
55,008,Albania,56," Sanitary towels, diapers and similar articles",677111.0,263.659
56,008,Albania,02," Bovine carcasses and half carcasses, fresh or chilled",2830253.0,261.907
57,008,Albania,42," Saddlery and harness, of any material",11007874.0,222.67899999999997
58,008,Albania,71," Pearls natural, not permanently mounted or set",8337360.0,216.577
59,008,Albania,46, Plaits and products of plaiting materials,61340.0,207.632
60,008,Albania,86," Rail locomotives, externally electrically powered",227026.0,200.33800000000002
61,008,Albania,51," Greasy shorn wool, not carded or combed",122877.0,160.538
