,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,008,Albania,380,Italy,1336758993.0,429050.933
1,008,Albania,724,Spain,226332262.0,513097.625
2,008,Albania,300,Greece,140117549.0,116979.459
3,008,Albania,276,Germany,139649677.0,15583.125
4,008,Albania,250,France,103609427.0,17732.777000000002
5,008,Albania,688,Serbia,93225685.0,227208.539
6,008,Albania,807,North Macedonia,81130669.0,707892.561
7,008,Albania,156,China,76499781.0,301703.256
8,008,Albania,840,USA,67232180.0,17365.122
9,008,Albania,499,Montenegro,48825272.0,378370.318
10,008,Albania,203,Czechia,46399457.0,6491.119
11,008,Albania,642,Romania,43948807.0,15739.482
12,008,Albania,040,Austria,26806783.0,9335.9
13,008,Albania,348,Hungary,25830888.0,3317.247
14,008,Albania,705,Slovenia,24327844.0,4216.833
15,008,Albania,792,TÃ¼rkiye,23913769.0,15737.606
16,008,Albania,752,Sweden,20988232.0,2658.049
17,008,Albania,100,Bulgaria,20556175.0,21859.534
18,008,Albania,616,Poland,19873772.0,4089.9139999999998
19,008,Albania,643,Russian Federation,19110441.0,550.925
20,008,Albania,756,Switzerland,19023025.0,4671.034000000001
21,008,Albania,070,Bosnia Herzegovina,16924635.0,23376.29
22,008,Albania,356,India,14060285.0,7589.153
23,008,Albania,392,Japan,11742472.0,4079.167
24,008,Albania,470,Malta,11016741.0,140880.868
25,008,Albania,036,Australia,10546984.0,24100.145999999997
26,008,Albania,784,United Arab Emirates,10420787.0,11815.26
27,008,Albania,124,Canada,9498038.0,6195.042
28,008,Albania,233,Estonia,9346985.0,739.9150000000001
29,008,Albania,826,United Kingdom,8978958.0,3919.5370000000003
30,008,Albania,191,Croatia,8321402.0,4782.443
31,008,Albania,528,Netherlands,7436063.0,1263.838
32,008,Albania,490,"Other Asia, nes",6504259.0,3065.42
33,008,Albania,703,Slovakia,6503198.0,2123.959
34,008,Albania,578,Norway,5185237.0,268.574
35,008,Albania,056,Belgium,4059711.0,1757.347
36,008,Albania,410,Rep. of Korea,3008233.0,1231.9470000000001
37,008,Albania,414,Kuwait,2995565.0,68.209
38,008,Albania,376,Israel,2445000.0,337.972
39,008,Albania,422,Lebanon,2240855.0,902.0759999999999
40,008,Albania,246,Finland,1906604.0,318.259
41,008,Albania,208,Denmark,1775047.0,439.147
42,008,Albania,051,Armenia,1644843.0,14.956
43,008,Albania,076,Brazil,1512713.0,174.091
44,008,Albania,368,Iraq,1413599.0,2455.367
45,008,Albania,710,South Africa,1247424.0,94.559
46,008,Albania,372,Ireland,1082877.0,270.138
47,008,Albania,702,Singapore,1025406.0,46.505
48,008,Albania,504,Morocco,975920.0,139.031
49,008,Albania,440,Lithuania,937394.0,1255.0430000000001
50,008,Albania,152,Chile,862140.0,205.314
