,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,008,Albania,724,Spain,27," Anthracite, not agglomerated",179908946.0,509178.161,"Spain -  Anthracite, not agglomerated"
1,008,Albania,807,North Macedonia,26," Iron ore, concentrate, not iron pyrites,unagglomerate",10810237.0,459222.6,"North Macedonia -  Iron ore, concentrate, not iron pyrites,unagglomerate"
2,008,Albania,156,China,26," Iron ore, concentrate, not iron pyrites,unagglomerate",59766309.0,298421.479,"China -  Iron ore, concentrate, not iron pyrites,unagglomerate"
3,008,Albania,499,Montenegro,25," Salt (sodium chloride) including solution, salt water",14997365.0,217746.956,"Montenegro -  Salt (sodium chloride) including solution, salt water"
4,008,Albania,470,Malta,25," Salt (sodium chloride) including solution, salt water",6374292.0,135735.0,"Malta -  Salt (sodium chloride) including solution, salt water"
5,008,Albania,807,North Macedonia,25," Salt (sodium chloride) including solution, salt water",9012482.0,131164.109,"North Macedonia -  Salt (sodium chloride) including solution, salt water"
6,008,Albania,380,Italy,25," Salt (sodium chloride) including solution, salt water",8431368.0,116009.329,"Italy -  Salt (sodium chloride) including solution, salt water"
7,008,Albania,688,Serbia,25," Salt (sodium chloride) including solution, salt water",8304421.0,111070.426,"Serbia -  Salt (sodium chloride) including solution, salt water"
8,008,Albania,380,Italy,27," Anthracite, not agglomerated",31970614.0,80468.991,"Italy -  Anthracite, not agglomerated"
9,008,Albania,499,Montenegro,69," Bricks, blocks and ceramic goods of siliceous earths",2341204.0,65836.69900000001,"Montenegro -  Bricks, blocks and ceramic goods of siliceous earths"
10,008,Albania,807,North Macedonia,72," Pig iron, non-alloy, <0.5% phosphorus",35462070.0,60520.354999999996,"North Macedonia -  Pig iron, non-alloy, <0.5% phosphorus"
11,008,Albania,380,Italy,44, Fuel wood,15795738.0,52206.551999999996,Italy -  Fuel wood
12,008,Albania,499,Montenegro,38, Artificial graphite,3476201.0,49762.741,Montenegro -  Artificial graphite
13,008,Albania,300,Greece,25," Salt (sodium chloride) including solution, salt water",3076763.0,40929.724,"Greece -  Salt (sodium chloride) including solution, salt water"
14,008,Albania,688,Serbia,69," Bricks, blocks and ceramic goods of siliceous earths",958436.0,28902.963,"Serbia -  Bricks, blocks and ceramic goods of siliceous earths"
15,008,Albania,688,Serbia,07," Potatoes seed, fresh or chilled",20413139.0,28756.107,"Serbia -  Potatoes seed, fresh or chilled"
16,008,Albania,380,Italy,64," Waterproof footwear (Wellingtons etc), metal toe cap",474648986.0,25805.395,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
17,008,Albania,380,Italy,72," Pig iron, non-alloy, <0.5% phosphorus",42310571.0,25217.597,"Italy -  Pig iron, non-alloy, <0.5% phosphorus"
18,008,Albania,036,Australia,31," Animal or vegetable fertilizers, in packs >10 kg",8021231.0,23458.76,"Australia -  Animal or vegetable fertilizers, in packs >10 kg"
19,008,Albania,807,North Macedonia,69," Bricks, blocks and ceramic goods of siliceous earths",799531.0,23259.824,"North Macedonia -  Bricks, blocks and ceramic goods of siliceous earths"
