,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,008,Albania,380,Italy,64," Waterproof footwear (Wellingtons etc), metal toe cap",474648986.0,25805.395,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
1,008,Albania,380,Italy,62," Mens, boys overcoats of wool or hair, not knit",189026581.0,7909.71,"Italy -  Mens, boys overcoats of wool or hair, not knit"
2,008,Albania,724,Spain,27," Anthracite, not agglomerated",179908946.0,509178.161,"Spain -  Anthracite, not agglomerated"
3,008,Albania,380,Italy,61," Mens, boys overcoats, etc, of wool or hair, knit",174835252.0,12207.387,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
4,008,Albania,156,China,26," Iron ore, concentrate, not iron pyrites,unagglomerate",59766309.0,298421.479,"China -  Iron ore, concentrate, not iron pyrites,unagglomerate"
5,008,Albania,380,Italy,85, Electric motors of an output < 37.5 watts,55073136.0,10911.845,Italy -  Electric motors of an output < 37.5 watts
6,008,Albania,380,Italy,83, Padlocks of base metal,47290695.0,6584.648,Italy -  Padlocks of base metal
7,008,Albania,276,Germany,64," Waterproof footwear (Wellingtons etc), metal toe cap",46198375.0,1447.106,"Germany -  Waterproof footwear (Wellingtons etc), metal toe cap"
8,008,Albania,380,Italy,72," Pig iron, non-alloy, <0.5% phosphorus",42310571.0,25217.597,"Italy -  Pig iron, non-alloy, <0.5% phosphorus"
9,008,Albania,380,Italy,48, Newsprint,41475274.0,13608.365,Italy -  Newsprint
10,008,Albania,300,Greece,27," Anthracite, not agglomerated",38635460.0,2821.571,"Greece -  Anthracite, not agglomerated"
11,008,Albania,807,North Macedonia,72," Pig iron, non-alloy, <0.5% phosphorus",35462070.0,60520.354999999996,"North Macedonia -  Pig iron, non-alloy, <0.5% phosphorus"
12,008,Albania,276,Germany,62," Mens, boys overcoats of wool or hair, not knit",34726662.0,1117.616,"Germany -  Mens, boys overcoats of wool or hair, not knit"
13,008,Albania,380,Italy,76," Aluminium unwrought, not alloyed",33067494.0,12432.97,"Italy -  Aluminium unwrought, not alloyed"
14,008,Albania,840,USA,72," Pig iron, non-alloy, <0.5% phosphorus",32836428.0,12148.853,"USA -  Pig iron, non-alloy, <0.5% phosphorus"
15,008,Albania,380,Italy,27," Anthracite, not agglomerated",31970614.0,80468.991,"Italy -  Anthracite, not agglomerated"
16,008,Albania,380,Italy,03," Ornamental fish, live",26578150.0,3536.728,"Italy -  Ornamental fish, live"
17,008,Albania,380,Italy,16," Sausages, similar products of meat, meat offal & bloo",26512954.0,2771.574,"Italy -  Sausages, similar products of meat, meat offal & bloo"
18,008,Albania,688,Serbia,27," Anthracite, not agglomerated",26294953.0,18052.136000000002,"Serbia -  Anthracite, not agglomerated"
19,008,Albania,724,Spain,64," Waterproof footwear (Wellingtons etc), metal toe cap",23442305.0,1014.775,"Spain -  Waterproof footwear (Wellingtons etc), metal toe cap"
20,008,Albania,250,France,61," Mens, boys overcoats, etc, of wool or hair, knit",23316786.0,699.535,"France -  Mens, boys overcoats, etc, of wool or hair, knit"
21,008,Albania,348,Hungary,64," Waterproof footwear (Wellingtons etc), metal toe cap",23100932.0,973.2959999999999,"Hungary -  Waterproof footwear (Wellingtons etc), metal toe cap"
22,008,Albania,300,Greece,61," Mens, boys overcoats, etc, of wool or hair, knit",22253733.0,1219.793,"Greece -  Mens, boys overcoats, etc, of wool or hair, knit"
23,008,Albania,688,Serbia,07," Potatoes seed, fresh or chilled",20413139.0,28756.107,"Serbia -  Potatoes seed, fresh or chilled"
24,008,Albania,752,Sweden,16," Sausages, similar products of meat, meat offal & bloo",20185691.0,2202.0,"Sweden -  Sausages, similar products of meat, meat offal & bloo"
